precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
13,2012-07-01,7,1,0,1,0,0,1,2012,26
13,2012-07-02,4,1,0,1,0,1,0,2012,27
13,2012-07-03,8,1,0,1,0,0,0,2012,27
13,2012-07-04,2,2,0,2,0,0,0,2012,27
13,2012-07-05,3,1,0,1,0,0,0,2012,27
13,2012-07-06,10,4,0,4,0,1,1,2012,27
13,2012-07-07,10,3,0,3,0,1,1,2012,27
13,2012-07-08,3,1,0,1,0,0,0,2012,27
13,2012-07-09,7,2,0,4,0,0,2,2012,28
13,2012-07-10,9,3,0,3,0,1,0,2012,28
13,2012-07-11,14,2,0,2,0,1,1,2012,28
13,2012-07-12,9,0,0,0,0,0,0,2012,28
13,2012-07-13,9,3,0,3,0,1,2,2012,28
13,2012-07-14,7,1,0,1,0,0,0,2012,28
13,2012-07-15,10,1,0,2,0,0,0,2012,28
13,2012-07-16,9,2,0,2,0,1,1,2012,29
13,2012-07-17,7,1,0,1,0,0,1,2012,29
13,2012-07-18,4,1,0,1,0,1,0,2012,29
13,2012-07-19,7,0,0,0,0,0,0,2012,29
13,2012-07-20,12,3,0,4,0,0,2,2012,29
13,2012-07-21,6,0,0,0,0,0,0,2012,29
13,2012-07-22,11,2,0,2,0,1,1,2012,29
13,2012-07-23,8,3,0,3,0,0,2,2012,30
13,2012-07-24,8,2,0,2,0,0,2,2012,30
13,2012-07-25,6,4,0,5,0,1,1,2012,30
13,2012-07-26,7,0,0,0,0,0,0,2012,30
13,2012-07-27,11,0,0,0,0,0,0,2012,30
13,2012-07-28,6,0,0,0,0,0,0,2012,30
13,2012-07-29,10,1,0,1,0,0,0,2012,30
13,2012-07-30,8,1,0,1,0,0,1,2012,31
13,2012-07-31,8,3,0,3,0,1,0,2012,31
13,2012-08-01,9,4,0,4,0,0,2,2012,31
13,2012-08-02,13,5,0,5,0,2,2,2012,31
13,2012-08-03,3,2,0,2,0,0,0,2012,31
13,2012-08-04,13,2,0,2,0,1,0,2012,31
13,2012-08-05,8,3,0,3,0,0,1,2012,31
13,2012-08-06,4,1,0,1,0,0,0,2012,32
13,2012-08-07,11,2,0,2,0,1,1,2012,32
13,2012-08-08,10,1,0,1,0,0,0,2012,32
13,2012-08-09,11,2,0,4,0,0,0,2012,32
13,2012-08-10,11,1,0,1,0,0,1,2012,32
13,2012-08-11,9,1,0,1,0,0,1,2012,32
13,2012-08-12,6,1,0,2,0,0,0,2012,32
13,2012-08-13,3,1,0,1,0,1,0,2012,33
13,2012-08-14,6,1,0,1,0,1,0,2012,33
13,2012-08-15,10,1,0,1,0,0,1,2012,33
13,2012-08-16,10,1,0,1,0,1,0,2012,33
13,2012-08-17,14,2,0,2,0,1,1,2012,33
13,2012-08-18,8,0,0,0,0,0,0,2012,33
13,2012-08-19,5,1,0,1,0,0,1,2012,33
13,2012-08-20,5,1,0,1,0,0,1,2012,34
13,2012-08-21,5,1,0,1,0,1,0,2012,34
13,2012-08-22,5,1,0,1,0,0,1,2012,34
13,2012-08-23,10,0,0,0,0,0,0,2012,34
13,2012-08-24,10,1,0,1,0,1,0,2012,34
13,2012-08-25,9,1,0,1,0,0,1,2012,34
13,2012-08-26,9,1,0,1,0,0,1,2012,34
13,2012-08-27,2,1,0,1,0,1,0,2012,35
13,2012-08-28,10,3,0,3,0,1,1,2012,35
13,2012-08-29,8,0,0,0,0,0,0,2012,35
13,2012-08-30,7,0,0,0,0,0,0,2012,35
13,2012-08-31,10,0,0,0,0,0,0,2012,35
13,2012-09-01,5,1,0,1,0,0,1,2012,35
13,2012-09-02,3,2,0,7,0,0,0,2012,35
13,2012-09-03,6,1,0,2,0,0,0,2012,36
13,2012-09-04,11,1,0,1,0,1,0,2012,36
13,2012-09-05,9,5,0,14,0,0,2,2012,36
13,2012-09-06,9,1,0,1,0,0,1,2012,36
13,2012-09-07,12,2,0,2,0,0,1,2012,36
13,2012-09-08,10,1,0,1,0,1,0,2012,36
13,2012-09-09,6,1,0,1,0,0,0,2012,36
13,2012-09-10,6,1,0,1,0,1,0,2012,37
13,2012-09-11,7,3,0,3,0,1,0,2012,37
13,2012-09-12,8,2,0,2,0,2,0,2012,37
13,2012-09-13,5,0,0,0,0,0,0,2012,37
13,2012-09-14,10,2,0,2,0,1,1,2012,37
