precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
18,2012-07-01,16,3,0,3,0,0,1,2012,26
18,2012-07-02,7,0,0,0,0,0,0,2012,27
18,2012-07-03,11,2,0,3,0,0,1,2012,27
18,2012-07-04,6,2,0,3,0,0,1,2012,27
18,2012-07-05,14,3,0,3,0,1,1,2012,27
18,2012-07-06,14,2,0,2,0,0,1,2012,27
18,2012-07-07,8,0,0,0,0,0,0,2012,27
18,2012-07-08,5,2,0,2,0,1,1,2012,27
18,2012-07-09,10,0,0,0,0,0,0,2012,28
18,2012-07-10,17,0,0,0,0,0,0,2012,28
18,2012-07-11,10,1,0,3,0,0,0,2012,28
18,2012-07-12,18,0,0,0,0,0,0,2012,28
18,2012-07-13,13,1,0,1,0,0,1,2012,28
18,2012-07-14,15,3,0,3,0,0,3,2012,28
18,2012-07-15,12,0,0,0,0,0,0,2012,28
18,2012-07-16,7,2,0,2,0,1,0,2012,29
18,2012-07-17,16,2,0,2,0,2,0,2012,29
18,2012-07-18,18,1,0,1,0,0,1,2012,29
18,2012-07-19,13,1,0,1,0,0,1,2012,29
18,2012-07-20,22,1,0,1,0,0,0,2012,29
18,2012-07-21,15,4,0,6,0,1,1,2012,29
18,2012-07-22,6,2,0,3,0,0,1,2012,29
18,2012-07-23,12,1,0,1,0,0,0,2012,30
18,2012-07-24,14,2,0,2,0,0,1,2012,30
18,2012-07-25,11,1,0,1,0,0,1,2012,30
18,2012-07-26,26,4,0,4,0,0,1,2012,30
18,2012-07-27,13,3,0,3,0,0,0,2012,30
18,2012-07-28,6,0,0,0,0,0,0,2012,30
18,2012-07-29,9,1,0,1,0,1,0,2012,30
18,2012-07-30,8,0,0,0,0,0,0,2012,31
18,2012-07-31,15,1,0,1,0,1,0,2012,31
18,2012-08-01,12,2,0,2,0,1,0,2012,31
18,2012-08-02,14,1,0,1,0,1,0,2012,31
18,2012-08-03,14,1,0,1,0,1,0,2012,31
18,2012-08-04,11,1,0,1,0,0,0,2012,31
18,2012-08-05,8,2,0,2,0,0,0,2012,31
18,2012-08-06,10,1,0,1,0,0,1,2012,32
18,2012-08-07,11,2,0,2,0,1,0,2012,32
18,2012-08-08,15,2,0,2,0,1,0,2012,32
18,2012-08-09,13,4,1,5,1,0,6,2012,32
18,2012-08-10,13,1,0,1,0,0,1,2012,32
18,2012-08-11,11,1,0,1,0,0,0,2012,32
18,2012-08-12,9,2,0,2,0,0,1,2012,32
18,2012-08-13,12,2,0,2,0,1,1,2012,33
18,2012-08-14,9,0,0,0,0,0,0,2012,33
18,2012-08-15,18,1,0,1,0,0,1,2012,33
18,2012-08-16,14,3,0,3,0,1,0,2012,33
18,2012-08-17,14,2,0,2,0,2,0,2012,33
18,2012-08-18,10,2,0,2,0,0,0,2012,33
18,2012-08-19,7,3,0,3,0,0,2,2012,33
18,2012-08-20,7,1,0,1,0,1,0,2012,34
18,2012-08-21,12,2,0,2,0,1,1,2012,34
18,2012-08-22,11,2,0,5,0,1,2,2012,34
18,2012-08-23,14,3,0,3,0,0,3,2012,34
18,2012-08-24,15,2,0,3,0,0,1,2012,34
18,2012-08-25,7,0,0,0,0,0,0,2012,34
18,2012-08-26,13,0,0,0,0,0,0,2012,34
18,2012-08-27,10,1,0,1,0,1,0,2012,35
18,2012-08-28,9,1,0,1,0,0,0,2012,35
18,2012-08-29,10,1,0,1,0,0,0,2012,35
18,2012-08-30,7,1,0,1,0,1,0,2012,35
18,2012-08-31,13,2,0,2,0,2,0,2012,35
18,2012-09-01,10,1,0,1,0,0,1,2012,35
18,2012-09-02,8,0,0,0,0,0,0,2012,35
18,2012-09-03,9,0,0,0,0,0,0,2012,36
18,2012-09-04,8,1,0,1,0,0,0,2012,36
18,2012-09-05,10,0,0,0,0,0,0,2012,36
18,2012-09-06,12,1,0,1,0,0,1,2012,36
18,2012-09-07,17,1,0,1,0,0,1,2012,36
18,2012-09-08,11,2,0,4,0,1,0,2012,36
18,2012-09-09,9,0,0,0,0,0,0,2012,36
18,2012-09-10,16,1,0,1,0,0,1,2012,37
18,2012-09-11,13,1,0,1,0,0,1,2012,37
18,2012-09-12,13,0,0,0,0,0,0,2012,37
18,2012-09-13,19,3,0,3,0,2,1,2012,37
18,2012-09-14,16,0,0,0,0,0,0,2012,37
18,2012-09-15,8,0,0,0,0,0,0,2012,37
18,2012-09-16,10,1,0,5,0,0,0,2012,37
18,2012-09-17,12,3,0,6,0,0,0,2012,38
18,2012-09-18,13,0,0,0,0,0,0,2012,38
18,2012-09-19,16,1,0,1,0,0,1,2012,38
18,2012-09-20,12,0,1,0,1,0,1,2012,38
18,2012-09-21,15,2,0,2,0,0,2,2012,38
18,2012-09-22,10,2,1,3,1,0,2,2012,38
18,2012-09-23,11,1,0,1,0,0,0,2012,38
18,2012-09-24,11,0,0,0,0,0,0,2012,39
18,2012-09-25,24,2,0,2,0,0,2,2012,39
18,2012-09-26,12,1,0,1,0,1,0,2012,39
18,2012-09-27,22,3,0,3,0,1,2,2012,39
18,2012-09-28,13,2,0,4,0,0,1,2012,39
18,2012-09-29,6,0,0,0,0,0,0,2012,39
18,2012-09-30,13,2,1,2,1,0,1,2012,39
18,2012-10-01,12,0,0,0,0,0,0,2012,40
18,2012-10-02,18,4,0,4,0,0,2,2012,40
18,2012-10-03,19,0,0,0,0,0,0,2012,40
18,2012-10-04,12,2,0,2,0,2,0,2012,40
18,2012-10-05,21,2,0,2,0,0,1,2012,40
18,2012-10-06,6,1,0,1,0,0,0,2012,40
18,2012-10-07,18,1,0,1,0,0,0,2012,40
18,2012-10-08,7,1,0,2,0,0,2,2012,41
18,2012-10-09,11,1,0,2,0,2,0,2012,41
18,2012-10-10,11,0,0,0,0,0,0,2012,41
18,2012-10-11,10,1,0,1,0,1,0,2012,41
18,2012-10-12,15,0,0,0,0,0,0,2012,41
18,2012-10-13,8,0,0,0,0,0,0,2012,41
18,2012-10-14,14,2,0,2,0,0,1,2012,41
18,2012-10-15,15,1,0,2,0,0,0,2012,42
18,2012-10-16,17,2,0,2,0,0,1,2012,42
18,2012-10-17,18,3,0,4,0,0,3,2012,42
18,2012-10-18,16,1,0,1,0,0,1,2012,42
18,2012-10-19,20,2,0,2,0,0,2,2012,42
