precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
110,2012-07-01,7,1,0,2,0,0,0,2012,26
110,2012-07-02,8,2,0,2,0,0,0,2012,27
110,2012-07-03,10,3,0,3,0,0,0,2012,27
110,2012-07-04,7,2,0,3,0,0,0,2012,27
110,2012-07-05,3,1,0,1,0,0,1,2012,27
110,2012-07-06,8,2,0,2,0,1,0,2012,27
110,2012-07-07,4,1,0,1,0,0,0,2012,27
110,2012-07-08,12,2,0,3,0,0,1,2012,27
110,2012-07-09,4,0,0,0,0,0,0,2012,28
110,2012-07-10,4,0,0,0,0,0,0,2012,28
110,2012-07-11,6,1,0,1,0,0,0,2012,28
110,2012-07-12,5,1,0,1,0,0,1,2012,28
110,2012-07-13,9,1,0,5,0,0,0,2012,28
110,2012-07-14,7,2,0,2,0,0,1,2012,28
110,2012-07-15,8,1,0,2,0,0,0,2012,28
110,2012-07-16,9,2,0,2,0,0,0,2012,29
110,2012-07-17,12,2,0,2,0,0,0,2012,29
110,2012-07-18,6,1,0,1,0,0,1,2012,29
110,2012-07-19,7,3,0,3,0,0,1,2012,29
110,2012-07-20,8,2,0,3,0,0,0,2012,29
110,2012-07-21,12,5,0,6,0,0,1,2012,29
110,2012-07-22,6,1,0,1,0,0,0,2012,29
110,2012-07-23,4,2,0,2,0,0,0,2012,30
110,2012-07-24,11,2,0,2,0,0,1,2012,30
110,2012-07-25,12,4,0,4,0,2,1,2012,30
110,2012-07-26,10,3,0,6,0,0,0,2012,30
110,2012-07-27,11,2,0,3,0,0,0,2012,30
110,2012-07-28,8,1,0,1,0,0,0,2012,30
110,2012-07-29,2,1,0,1,0,0,1,2012,30
110,2012-07-30,9,2,0,2,0,2,0,2012,31
110,2012-07-31,6,2,0,2,0,0,1,2012,31
110,2012-08-01,10,1,0,1,0,0,1,2012,31
110,2012-08-02,6,0,0,0,0,0,0,2012,31
110,2012-08-03,6,0,0,0,0,0,0,2012,31
110,2012-08-04,8,2,0,3,0,0,0,2012,31
110,2012-08-05,10,3,0,3,0,0,2,2012,31
110,2012-08-06,6,2,0,2,0,1,0,2012,32
110,2012-08-07,6,4,0,6,0,1,1,2012,32
110,2012-08-08,8,2,0,2,0,0,1,2012,32
110,2012-08-09,8,3,0,4,0,1,0,2012,32
110,2012-08-10,8,1,0,1,0,0,1,2012,32
110,2012-08-11,6,2,0,3,0,0,1,2012,32
110,2012-08-12,15,5,0,8,0,0,1,2012,32
110,2012-08-13,6,0,0,0,0,0,0,2012,33
110,2012-08-14,11,1,0,1,0,0,1,2012,33
110,2012-08-15,9,3,0,4,0,0,2,2012,33
110,2012-08-16,8,3,0,5,0,0,1,2012,33
110,2012-08-17,3,1,0,1,0,0,1,2012,33
110,2012-08-18,10,2,0,3,0,0,0,2012,33
