date,all_collisions,injury_collisions,fatal_collisions,tire_failure_inadequate,oversized_vehicle,following_too_closely,unspecified,shoulders_defective_improper,physical_disability,other_electronic_device,brakes_defective,driver_inexperience,backing_unsafely,prescription_medication,view_obstructed_limited,other_vehicular,other_lighting_defects,reaction_to_other_uninvolved_vehicle,traffic_control_disregarded,fell_asleep,tow_hitch_defective,traffic_control_device_improper_non_working,outside_car_distraction,lane_marking_improper_inadequate,illness,glare,pavement_defective,cell_phone_hand_held,headlights_defective,turning_improperly,failure_to_keep_right,aggressive_driving_road_rage,passenger_distraction,pavement_slippery,drugs_illegal,cell_phone_hands_free,fatigued_drowsy,steering_failure,unsafe_speed,unsafe_lane_changing,alcohol_involvement,lost_consciousness,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,animals_action,failure_to_yield_right_of_way,accelerator_defective,driver_inattention_distraction,windshield_inadequate,obstruction_debris
2012-07-26,604,161,0,0,3,1,920,0,6,2,2,4,15,11,0,16,0,2,10,0,0,0,10,0,4,1,0,0,0,17,1,4,1,4,0,0,35,0,0,0,6,24,0,0,0,20,0,81,0,5
2012-07-27,637,165,0,1,2,0,948,0,7,2,1,14,23,12,2,24,0,2,10,0,0,1,11,0,5,0,1,0,0,18,0,3,3,0,1,0,35,0,0,1,4,20,0,0,2,24,0,95,0,0
2012-07-28,512,175,1,1,4,1,753,0,11,2,1,7,13,7,5,24,0,2,7,0,0,1,5,0,2,0,0,0,0,19,3,1,5,9,0,0,21,1,2,0,7,11,1,0,0,15,0,78,0,0
2012-07-29,376,104,0,0,1,0,581,0,9,2,2,5,8,11,0,9,0,0,13,0,0,0,6,0,2,0,0,0,0,7,0,4,1,0,0,0,18,3,3,0,9,10,0,0,0,14,0,35,0,0
2012-07-30,529,139,2,2,1,0,779,0,11,0,0,17,16,10,4,20,0,2,5,1,0,0,15,0,0,0,1,0,0,7,0,2,8,0,0,0,35,0,0,0,2,8,1,0,0,25,0,64,0,0
2012-07-31,539,123,0,4,3,0,796,0,5,1,1,11,23,13,1,24,0,2,3,0,0,0,10,0,4,1,1,0,0,12,1,1,1,0,1,1,32,0,2,1,1,17,0,0,1,28,0,61,0,0
2012-08-01,615,149,0,0,4,1,931,0,6,1,2,11,18,7,1,32,0,1,11,1,0,0,9,0,2,0,0,0,0,17,0,2,5,12,0,0,49,0,1,0,3,14,0,0,1,29,0,73,0,1
2012-08-02,570,156,1,0,2,0,862,0,4,1,1,12,15,10,2,19,0,3,4,2,0,0,12,0,0,1,0,1,0,24,0,3,2,2,0,0,24,0,0,0,4,14,0,0,0,30,0,67,0,2
2012-08-03,589,145,1,0,7,1,861,0,9,2,2,13,16,14,7,28,0,1,5,0,0,0,5,0,0,0,0,0,0,23,2,4,3,0,0,0,24,0,1,0,5,14,1,0,0,31,0,74,0,3
2012-08-04,567,146,1,1,1,0,846,0,7,0,0,7,18,12,2,30,1,1,10,2,0,0,5,1,1,0,0,0,0,19,2,5,4,0,0,0,37,0,1,0,7,12,0,0,0,18,0,67,0,0
2012-08-05,518,173,0,0,0,0,790,0,17,0,0,9,4,10,1,21,0,2,11,0,0,0,10,0,3,0,0,0,0,8,1,1,2,6,0,0,31,1,1,0,4,12,0,0,0,18,0,64,0,4
2012-08-06,593,150,1,2,4,1,924,0,12,3,0,9,16,8,6,19,0,1,6,2,0,0,10,0,0,0,0,0,0,9,2,0,1,0,0,0,37,0,1,1,3,15,0,0,0,25,0,67,0,2
2012-08-07,547,143,0,1,5,0,811,0,9,5,2,15,22,11,2,15,0,1,8,0,0,1,6,0,0,0,0,0,0,12,1,1,4,0,1,0,33,1,0,0,2,13,0,0,1,25,1,65,0,1
2012-08-08,528,133,1,0,6,0,766,0,6,3,0,7,10,16,2,32,0,2,2,1,0,0,6,0,1,0,1,0,0,18,2,4,3,0,0,0,40,0,1,0,1,17,0,0,0,28,0,67,0,1
2012-08-09,581,163,2,1,3,1,856,0,11,1,1,11,18,12,3,22,0,0,9,1,0,2,6,0,2,0,0,0,0,10,0,0,2,2,0,0,43,0,0,0,6,16,0,0,0,21,0,79,0,1
2012-08-10,616,165,1,2,4,0,944,0,4,0,1,10,11,13,4,29,0,0,4,0,0,1,5,0,3,1,0,0,0,22,0,1,2,6,0,0,43,0,1,0,1,10,0,0,0,25,0,81,0,2
