precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
109,2012-07-01,13,3,0,5,0,0,1,2012,26
109,2012-07-02,15,1,0,2,0,0,0,2012,27
109,2012-07-03,14,5,0,5,0,0,3,2012,27
109,2012-07-04,8,3,0,5,0,0,1,2012,27
109,2012-07-05,20,3,0,4,0,0,1,2012,27
109,2012-07-06,15,3,0,3,0,0,1,2012,27
109,2012-07-07,8,0,0,0,0,0,0,2012,27
109,2012-07-08,9,4,0,5,0,1,0,2012,27
109,2012-07-09,9,1,0,1,0,0,0,2012,28
109,2012-07-10,14,5,0,7,0,0,2,2012,28
109,2012-07-11,18,4,0,4,0,0,1,2012,28
109,2012-07-12,8,1,0,1,0,0,0,2012,28
109,2012-07-13,11,4,0,4,0,1,0,2012,28
109,2012-07-14,13,1,0,1,0,0,1,2012,28
109,2012-07-15,9,3,0,4,0,0,0,2012,28
109,2012-07-16,14,0,0,0,0,0,0,2012,29
109,2012-07-17,18,3,0,3,0,0,2,2012,29
109,2012-07-18,12,2,0,3,0,0,1,2012,29
109,2012-07-19,11,3,0,3,0,1,0,2012,29
109,2012-07-20,12,1,0,2,0,0,0,2012,29
109,2012-07-21,17,3,0,6,0,1,0,2012,29
109,2012-07-22,17,0,0,0,0,0,0,2012,29
109,2012-07-23,14,5,0,7,0,0,1,2012,30
109,2012-07-24,14,2,0,3,0,0,0,2012,30
109,2012-07-25,12,2,0,7,0,0,0,2012,30
109,2012-07-26,16,1,0,1,0,0,1,2012,30
109,2012-07-27,12,3,0,3,0,0,1,2012,30
109,2012-07-28,11,4,0,6,0,1,0,2012,30
109,2012-07-29,12,0,0,0,0,0,0,2012,30
109,2012-07-30,6,0,0,0,0,0,0,2012,31
109,2012-07-31,15,3,0,3,0,0,3,2012,31
109,2012-08-01,23,2,0,3,0,0,1,2012,31
109,2012-08-02,18,2,0,2,0,0,1,2012,31
109,2012-08-03,11,1,0,2,0,0,0,2012,31
109,2012-08-04,8,3,0,3,0,0,1,2012,31
109,2012-08-05,7,2,0,2,0,0,1,2012,31
109,2012-08-06,15,1,0,1,0,0,0,2012,32
109,2012-08-07,12,2,0,2,0,0,1,2012,32
109,2012-08-08,16,0,0,0,0,0,0,2012,32
109,2012-08-09,16,3,0,3,0,0,2,2012,32
109,2012-08-10,20,3,0,3,0,0,1,2012,32
109,2012-08-11,11,3,0,3,0,0,1,2012,32
109,2012-08-12,18,1,0,3,0,0,0,2012,32
109,2012-08-13,10,3,0,3,0,0,2,2012,33
109,2012-08-14,12,3,0,5,0,0,2,2012,33
109,2012-08-15,19,3,0,5,0,0,1,2012,33
109,2012-08-16,10,0,0,0,0,0,0,2012,33
109,2012-08-17,12,0,0,0,0,0,0,2012,33
109,2012-08-18,10,1,0,1,0,1,0,2012,33
109,2012-08-19,10,2,0,5,0,0,1,2012,33
109,2012-08-20,7,1,0,1,0,0,0,2012,34
109,2012-08-21,15,2,0,3,0,0,0,2012,34
109,2012-08-22,14,0,0,0,0,0,0,2012,34
109,2012-08-23,8,2,0,3,0,0,0,2012,34
109,2012-08-24,11,3,0,4,0,0,1,2012,34
109,2012-08-25,8,0,0,0,0,0,0,2012,34
109,2012-08-26,11,5,0,8,0,0,1,2012,34
109,2012-08-27,20,2,0,2,0,0,0,2012,35
109,2012-08-28,14,2,0,2,0,0,1,2012,35
109,2012-08-29,18,7,0,8,0,1,1,2012,35
109,2012-08-30,19,6,0,7,0,1,2,2012,35
109,2012-08-31,18,2,0,2,0,0,1,2012,35
109,2012-09-01,8,2,0,5,0,0,0,2012,35
109,2012-09-02,13,3,0,3,0,0,0,2012,35
109,2012-09-03,6,0,0,0,0,0,0,2012,36
109,2012-09-04,23,7,0,8,0,0,2,2012,36
109,2012-09-05,13,1,0,1,0,1,0,2012,36
109,2012-09-06,19,0,0,0,0,0,0,2012,36
109,2012-09-07,13,0,0,0,0,0,0,2012,36
109,2012-09-08,13,3,0,3,0,0,1,2012,36
109,2012-09-09,12,3,0,8,0,0,0,2012,36
109,2012-09-10,9,3,0,3,0,0,0,2012,37
109,2012-09-11,8,2,0,2,0,1,1,2012,37
109,2012-09-12,14,1,0,1,0,1,0,2012,37
109,2012-09-13,10,3,0,5,0,0,2,2012,37
109,2012-09-14,16,3,0,3,0,1,1,2012,37
109,2012-09-15,21,3,0,7,0,1,0,2012,37
109,2012-09-16,12,1,0,1,0,0,0,2012,37
109,2012-09-17,11,3,0,3,0,0,1,2012,38
109,2012-09-18,14,3,0,3,0,0,1,2012,38
109,2012-09-19,13,0,0,0,0,0,0,2012,38
109,2012-09-20,12,1,0,1,0,0,1,2012,38
109,2012-09-21,18,3,0,4,0,0,0,2012,38
109,2012-09-22,18,5,0,7,0,2,2,2012,38
109,2012-09-23,14,5,0,7,0,0,2,2012,38
109,2012-09-24,13,1,0,1,0,0,0,2012,39
109,2012-09-25,18,2,0,3,0,0,3,2012,39
109,2012-09-26,8,0,0,0,0,0,0,2012,39
109,2012-09-27,10,1,0,1,0,0,0,2012,39
109,2012-09-28,14,3,0,4,0,0,0,2012,39
109,2012-09-29,16,2,0,3,0,1,0,2012,39
109,2012-09-30,9,1,0,5,0,0,0,2012,39
