precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
83,2012-07-01,5,2,0,2,0,0,2,2012,26
83,2012-07-02,3,2,0,2,0,0,0,2012,27
83,2012-07-03,4,2,0,2,0,2,0,2012,27
83,2012-07-04,3,0,0,0,0,0,0,2012,27
83,2012-07-05,6,1,0,2,0,0,0,2012,27
83,2012-07-06,1,0,0,0,0,0,0,2012,27
83,2012-07-07,3,0,0,0,0,0,0,2012,27
83,2012-07-08,5,1,1,3,1,0,1,2012,27
83,2012-07-09,4,2,0,3,0,0,2,2012,28
83,2012-07-10,4,3,0,3,0,1,0,2012,28
83,2012-07-11,4,2,0,4,0,1,0,2012,28
83,2012-07-12,6,2,0,2,0,1,0,2012,28
83,2012-07-13,4,0,0,0,0,0,0,2012,28
83,2012-07-14,9,3,0,6,0,0,0,2012,28
83,2012-07-15,4,2,0,2,0,0,1,2012,28
83,2012-07-16,3,1,0,1,0,0,1,2012,29
83,2012-07-17,4,1,0,2,0,0,0,2012,29
83,2012-07-18,3,1,0,1,0,0,1,2012,29
83,2012-07-19,2,0,0,0,0,0,0,2012,29
83,2012-07-20,2,1,0,1,0,0,0,2012,29
83,2012-07-21,1,0,0,0,0,0,0,2012,29
83,2012-07-22,3,1,0,1,0,0,0,2012,29
83,2012-07-23,6,0,0,0,0,0,0,2012,30
83,2012-07-24,6,2,0,2,0,0,1,2012,30
83,2012-07-25,3,0,0,0,0,0,0,2012,30
83,2012-07-26,5,1,0,1,0,0,0,2012,30
83,2012-07-27,6,2,0,2,0,1,0,2012,30
83,2012-07-28,4,2,0,2,0,0,0,2012,30
83,2012-07-29,1,1,0,1,0,0,0,2012,30
83,2012-07-30,6,3,0,7,0,0,2,2012,31
83,2012-07-31,1,0,0,0,0,0,0,2012,31
83,2012-08-01,4,0,0,0,0,0,0,2012,31
83,2012-08-02,4,1,0,2,0,0,2,2012,31
83,2012-08-03,5,1,0,1,0,0,0,2012,31
83,2012-08-04,6,1,0,2,0,0,0,2012,31
83,2012-08-05,9,3,0,7,0,0,1,2012,31
83,2012-08-06,6,2,0,2,0,1,1,2012,32
83,2012-08-07,9,2,0,2,0,0,2,2012,32
83,2012-08-08,1,0,0,0,0,0,0,2012,32
83,2012-08-09,9,5,0,5,0,1,0,2012,32
83,2012-08-10,7,3,0,6,0,1,1,2012,32
83,2012-08-11,3,0,0,0,0,0,0,2012,32
83,2012-08-12,4,1,0,2,0,0,0,2012,32
83,2012-08-13,7,2,0,3,0,1,0,2012,33
83,2012-08-14,4,3,0,3,0,0,2,2012,33
83,2012-08-15,9,3,0,3,0,0,1,2012,33
83,2012-08-16,9,3,0,3,0,0,2,2012,33
83,2012-08-17,4,1,0,1,0,0,1,2012,33
83,2012-08-18,3,1,0,1,0,0,1,2012,33
83,2012-08-19,2,1,0,1,0,0,1,2012,33
83,2012-08-20,4,3,0,3,0,1,1,2012,34
83,2012-08-22,5,0,0,0,0,0,0,2012,34
83,2012-08-23,4,2,0,2,0,2,0,2012,34
83,2012-08-24,4,2,0,2,0,0,1,2012,34
83,2012-08-25,11,4,0,6,0,1,0,2012,34
83,2012-08-26,4,0,0,0,0,0,0,2012,34
83,2012-08-27,5,2,0,3,0,0,1,2012,35
83,2012-08-28,6,1,0,1,0,0,1,2012,35
83,2012-08-29,3,0,0,0,0,0,0,2012,35
83,2012-08-30,2,0,0,0,0,0,0,2012,35
83,2012-08-31,8,2,0,2,0,0,1,2012,35
83,2012-09-01,11,3,0,5,0,0,0,2012,35
83,2012-09-02,5,2,0,2,0,0,0,2012,35
