precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
66,2012-07-01,4,0,0,0,0,0,0,2012,26
66,2012-07-02,9,2,0,2,0,1,1,2012,27
66,2012-07-03,10,1,0,1,0,0,0,2012,27
66,2012-07-04,3,1,0,1,0,0,0,2012,27
66,2012-07-05,11,5,0,7,0,2,0,2012,27
66,2012-07-06,8,0,0,0,0,0,0,2012,27
66,2012-07-07,4,1,0,1,0,0,1,2012,27
66,2012-07-08,8,3,0,3,0,0,0,2012,27
66,2012-07-09,10,3,0,3,0,1,0,2012,28
66,2012-07-10,6,0,0,0,0,0,0,2012,28
66,2012-07-11,13,3,0,4,0,0,0,2012,28
66,2012-07-12,13,4,0,4,0,0,2,2012,28
66,2012-07-13,9,1,0,1,0,0,1,2012,28
66,2012-07-14,3,0,0,0,0,0,0,2012,28
66,2012-07-15,2,2,0,3,0,0,0,2012,28
66,2012-07-16,8,0,0,0,0,0,0,2012,29
66,2012-07-17,8,2,0,2,0,1,0,2012,29
66,2012-07-18,5,2,0,2,0,0,0,2012,29
66,2012-07-19,6,1,0,1,0,0,1,2012,29
66,2012-07-20,5,0,0,0,0,0,0,2012,29
66,2012-07-21,3,0,0,0,0,0,0,2012,29
66,2012-07-22,6,2,0,2,0,1,1,2012,29
66,2012-07-23,11,6,0,9,0,2,1,2012,30
66,2012-07-24,5,1,0,1,0,0,0,2012,30
66,2012-07-25,7,2,0,2,0,0,0,2012,30
66,2012-07-26,9,2,0,2,0,0,2,2012,30
66,2012-07-27,4,2,0,2,0,1,1,2012,30
66,2012-07-28,1,1,0,1,0,0,0,2012,30
66,2012-07-29,1,0,0,0,0,0,0,2012,30
66,2012-07-30,2,1,0,1,0,0,0,2012,31
66,2012-07-31,7,3,0,3,0,0,0,2012,31
66,2012-08-01,10,1,0,1,0,1,0,2012,31
66,2012-08-02,6,2,0,2,0,1,1,2012,31
66,2012-08-03,3,2,0,3,0,0,1,2012,31
66,2012-08-05,5,1,0,1,0,0,0,2012,31
66,2012-08-06,8,0,0,0,0,0,0,2012,32
66,2012-08-07,9,1,0,1,0,0,0,2012,32
66,2012-08-08,9,4,0,4,0,1,2,2012,32
66,2012-08-09,11,3,0,3,0,1,0,2012,32
66,2012-08-10,6,0,0,0,0,0,0,2012,32
66,2012-08-11,2,1,0,1,0,0,0,2012,32
66,2012-08-12,2,0,0,0,0,0,0,2012,32
66,2012-08-13,8,1,0,1,0,0,0,2012,33
66,2012-08-14,8,1,0,1,0,1,0,2012,33
66,2012-08-15,7,3,0,3,0,0,1,2012,33
66,2012-08-16,8,3,0,4,0,1,1,2012,33
66,2012-08-17,6,1,0,1,0,0,0,2012,33
66,2012-08-18,3,1,0,1,0,0,1,2012,33
66,2012-08-19,2,0,0,0,0,0,0,2012,33
66,2012-08-20,4,0,0,0,0,0,0,2012,34
66,2012-08-21,15,2,0,4,0,0,1,2012,34
66,2012-08-22,7,1,0,1,0,1,0,2012,34
66,2012-08-23,6,3,0,3,0,1,2,2012,34
66,2012-08-24,4,2,0,2,0,1,0,2012,34
66,2012-08-26,4,0,0,0,0,0,0,2012,34
66,2012-08-27,10,1,0,1,0,0,1,2012,35
66,2012-08-28,10,2,0,3,0,0,0,2012,35
66,2012-08-29,9,1,0,1,0,0,0,2012,35
66,2012-08-30,10,3,0,3,0,2,0,2012,35
66,2012-08-31,7,0,0,0,0,0,0,2012,35
66,2012-09-01,2,1,0,1,0,1,0,2012,35
66,2012-09-02,4,1,0,1,0,1,0,2012,35
66,2012-09-03,6,1,0,1,0,1,0,2012,36
66,2012-09-04,5,1,0,1,0,1,0,2012,36
66,2012-09-05,19,4,0,7,0,0,2,2012,36
66,2012-09-06,8,1,0,2,0,0,0,2012,36
66,2012-09-07,10,0,0,0,0,0,0,2012,36
66,2012-09-08,2,0,0,0,0,0,0,2012,36
66,2012-09-09,6,4,0,5,0,1,2,2012,36
66,2012-09-10,10,2,0,2,0,1,1,2012,37
66,2012-09-11,12,4,0,4,0,3,0,2012,37
66,2012-09-12,8,2,0,2,0,1,0,2012,37
66,2012-09-13,16,2,0,2,0,0,1,2012,37
66,2012-09-14,1,0,0,0,0,0,0,2012,37
66,2012-09-15,3,0,0,0,0,0,0,2012,37
66,2012-09-16,8,2,0,3,0,0,0,2012,37
66,2012-09-17,4,1,1,2,1,0,0,2012,38
66,2012-09-18,2,1,0,1,0,1,0,2012,38
66,2012-09-19,5,2,0,4,0,0,0,2012,38
66,2012-09-20,5,1,0,2,0,0,0,2012,38
66,2012-09-21,10,3,0,3,0,0,0,2012,38
66,2012-09-22,2,0,0,0,0,0,0,2012,38
66,2012-09-23,9,4,0,4,0,2,2,2012,38
66,2012-09-24,9,3,0,7,0,1,0,2012,39
66,2012-09-25,6,2,0,2,0,0,2,2012,39
66,2012-09-27,11,2,0,2,0,0,2,2012,39
66,2012-09-28,11,1,0,3,0,0,0,2012,39
66,2012-09-29,3,1,0,1,0,0,1,2012,39
66,2012-09-30,1,0,0,0,0,0,0,2012,39
66,2012-10-01,3,0,0,0,0,0,0,2012,40
66,2012-10-02,8,3,0,3,0,0,3,2012,40
66,2012-10-03,8,3,0,3,0,0,1,2012,40
66,2012-10-04,6,2,0,2,0,0,1,2012,40
66,2012-10-05,9,3,0,3,0,0,2,2012,40
66,2012-10-07,6,3,0,3,0,0,2,2012,40
66,2012-10-08,2,1,0,1,0,0,0,2012,41
66,2012-10-09,6,2,0,3,0,0,1,2012,41
66,2012-10-10,13,2,0,2,0,0,0,2012,41
66,2012-10-11,12,3,0,3,0,1,2,2012,41
66,2012-10-12,7,1,0,1,0,0,1,2012,41
66,2012-10-13,4,1,0,1,0,0,1,2012,41
66,2012-10-14,10,3,0,3,0,1,0,2012,41
66,2012-10-15,10,3,0,3,0,2,1,2012,42
66,2012-10-16,6,2,0,2,0,1,1,2012,42
66,2012-10-17,6,1,0,1,0,0,1,2012,42
66,2012-10-18,8,5,0,9,0,1,1,2012,42
66,2012-10-19,6,3,0,3,0,0,1,2012,42
66,2012-10-20,4,0,0,0,0,0,0,2012,42
66,2012-10-21,5,2,0,2,0,1,1,2012,42
66,2012-10-22,13,3,0,4,0,0,2,2012,43
66,2012-10-23,10,3,0,3,0,0,3,2012,43
66,2012-10-24,9,1,0,2,0,0,0,2012,43
66,2012-10-25,7,2,0,2,0,0,2,2012,43
66,2012-10-26,6,1,0,1,0,0,0,2012,43
66,2012-10-27,2,1,0,1,0,0,0,2012,43
66,2012-10-28,7,1,0,1,0,0,1,2012,43
66,2012-10-29,5,1,0,1,0,0,0,2012,44
66,2012-10-30,5,1,0,1,0,0,0,2012,44
66,2012-10-31,8,2,0,2,0,1,1,2012,44
66,2012-11-01,11,1,0,1,0,0,1,2012,44
66,2012-11-02,4,1,0,1,0,1,0,2012,44
66,2012-11-03,2,0,0,0,0,0,0,2012,44
66,2012-11-04,5,0,0,0,0,0,0,2012,44
66,2012-11-05,6,1,0,1,0,0,0,2012,45
66,2012-11-06,8,1,0,1,0,1,0,2012,45
66,2012-11-07,7,3,0,8,0,0,2,2012,45
66,2012-11-08,9,1,0,1,0,0,1,2012,45
66,2012-11-09,14,1,0,1,0,1,0,2012,45
66,2012-11-10,5,1,0,1,0,0,1,2012,45
66,2012-11-11,5,2,0,2,0,0,1,2012,45
66,2012-11-12,11,4,0,7,0,0,1,2012,46
66,2012-11-13,18,5,0,5,0,0,2,2012,46
66,2012-11-14,10,3,0,3,0,1,1,2012,46
66,2012-11-15,10,2,0,2,0,1,0,2012,46
66,2012-11-16,9,1,0,1,0,0,1,2012,46
66,2012-11-17,4,0,0,0,0,0,0,2012,46
66,2012-11-18,12,0,0,0,0,0,0,2012,46
66,2012-11-19,7,2,0,3,0,0,0,2012,47
66,2012-11-20,13,2,0,4,0,1,0,2012,47
66,2012-11-21,11,1,0,1,0,0,1,2012,47
66,2012-11-22,1,0,0,0,0,0,0,2012,47
66,2012-11-23,7,2,0,6,0,0,0,2012,47
66,2012-11-24,3,1,0,1,0,0,1,2012,47
66,2012-11-25,9,3,0,3,0,0,3,2012,47
66,2012-11-26,12,2,0,2,0,0,2,2012,48
66,2012-11-27,12,2,0,2,0,1,0,2012,48
66,2012-11-28,3,0,0,0,0,0,0,2012,48
66,2012-11-29,9,3,0,3,0,2,1,2012,48
66,2012-11-30,8,2,0,2,0,0,1,2012,48
66,2012-12-01,5,0,0,0,0,0,0,2012,48
66,2012-12-02,6,3,0,3,0,0,1,2012,48
66,2012-12-03,15,5,0,5,0,1,3,2012,49
66,2012-12-04,6,2,0,3,0,0,0,2012,49
66,2012-12-05,7,3,0,3,0,0,2,2012,49
66,2012-12-06,12,1,0,1,0,0,0,2012,49
66,2012-12-07,11,1,0,3,0,0,0,2012,49
66,2012-12-08,5,0,0,0,0,0,0,2012,49
66,2012-12-09,5,2,0,2,0,0,1,2012,49
66,2012-12-10,18,5,0,5,0,2,2,2012,50
66,2012-12-11,6,0,0,0,0,0,0,2012,50
66,2012-12-12,5,2,0,2,0,1,0,2012,50
66,2012-12-13,7,2,0,2,0,0,0,2012,50
66,2012-12-14,6,0,0,0,0,0,0,2012,50
66,2012-12-15,4,0,0,0,0,0,0,2012,50
66,2012-12-16,5,2,0,2,0,1,0,2012,50
66,2012-12-17,13,3,0,3,0,1,2,2012,51
66,2012-12-18,12,6,0,6,0,0,0,2012,51
66,2012-12-19,7,1,0,1,0,0,1,2012,51
66,2012-12-20,8,2,0,5,0,0,0,2012,51
66,2012-12-21,8,2,0,2,0,1,0,2012,51
66,2012-12-22,2,0,0,0,0,0,0,2012,51
66,2012-12-23,5,1,0,1,0,0,1,2012,51
66,2012-12-24,10,1,0,1,0,0,0,2012,52
66,2012-12-25,10,3,0,8,0,0,1,2012,52
66,2012-12-26,11,7,0,10,0,0,5,2012,52
66,2012-12-27,11,3,0,4,0,0,1,2012,52
66,2012-12-28,7,2,0,5,0,0,1,2012,52
66,2012-12-29,4,0,0,0,0,0,0,2012,52
66,2012-12-30,4,0,0,0,0,0,0,2012,52
66,2012-12-31,7,1,0,1,0,0,1,2012,1
66,2013-01-01,4,1,0,1,0,0,0,2013,1
66,2013-01-02,14,4,0,5,0,0,2,2013,1
66,2013-01-03,10,4,0,5,0,0,1,2013,1
66,2013-01-04,7,0,0,0,0,0,0,2013,1
66,2013-01-05,3,2,0,4,0,0,0,2013,1
66,2013-01-06,6,1,0,1,0,0,0,2013,1
66,2013-01-07,7,3,0,3,0,0,1,2013,2
66,2013-01-08,9,2,0,3,0,0,1,2013,2
66,2013-01-09,9,2,0,2,0,0,0,2013,2
66,2013-01-10,14,5,0,5,0,1,3,2013,2
66,2013-01-11,17,4,0,4,0,0,3,2013,2
66,2013-01-12,7,1,0,1,0,0,0,2013,2
66,2013-01-13,7,4,0,5,0,0,2,2013,2
66,2013-01-14,7,2,0,2,0,0,0,2013,3
66,2013-01-15,6,1,0,1,0,0,0,2013,3
66,2013-01-16,8,2,0,2,0,0,2,2013,3
66,2013-01-17,7,2,0,2,0,1,1,2013,3
66,2013-01-18,7,1,0,1,0,0,0,2013,3
66,2013-01-20,5,0,0,0,0,0,0,2013,3
66,2013-01-21,10,3,0,3,0,0,3,2013,4
66,2013-01-22,9,0,1,0,1,0,1,2013,4
66,2013-01-23,10,4,0,4,0,1,2,2013,4
66,2013-01-24,8,3,0,3,0,1,1,2013,4
66,2013-01-25,12,3,0,4,0,0,1,2013,4
66,2013-01-26,1,0,0,0,0,0,0,2013,4
66,2013-01-27,5,2,0,2,0,0,2,2013,4
66,2013-01-28,9,2,0,2,0,0,2,2013,5
66,2013-01-29,7,0,0,0,0,0,0,2013,5
66,2013-01-30,7,1,0,2,0,0,0,2013,5
66,2013-01-31,11,0,0,0,0,0,0,2013,5
66,2013-02-01,7,2,0,2,0,1,1,2013,5
66,2013-02-02,6,2,0,3,0,0,0,2013,5
66,2013-02-03,10,0,0,0,0,0,0,2013,5
66,2013-02-04,9,3,0,3,0,0,2,2013,6
66,2013-02-05,10,2,0,3,0,0,0,2013,6
66,2013-02-06,7,3,0,3,0,0,2,2013,6
66,2013-02-07,8,2,0,2,0,0,0,2013,6
66,2013-02-08,11,4,0,6,0,0,2,2013,6
66,2013-02-09,3,0,0,0,0,0,0,2013,6
66,2013-02-10,9,3,0,5,0,0,0,2013,6
66,2013-02-11,4,0,0,0,0,0,0,2013,7
66,2013-02-12,9,2,0,2,0,0,2,2013,7
66,2013-02-13,7,2,0,2,0,0,1,2013,7
66,2013-02-14,9,2,0,2,0,0,1,2013,7
66,2013-02-15,6,3,0,3,0,0,1,2013,7
66,2013-02-16,1,0,0,0,0,0,0,2013,7
66,2013-02-17,6,1,0,1,0,0,1,2013,7
66,2013-02-18,5,0,0,0,0,0,0,2013,8
66,2013-02-19,7,0,0,0,0,0,0,2013,8
66,2013-02-20,10,2,0,2,0,0,0,2013,8
66,2013-02-21,2,1,0,1,0,0,0,2013,8
66,2013-02-22,6,2,0,2,0,0,0,2013,8
66,2013-02-23,6,1,0,1,0,0,1,2013,8
66,2013-02-24,13,2,0,2,0,0,0,2013,8
66,2013-02-25,8,3,0,5,0,0,1,2013,9
66,2013-02-26,10,2,0,2,0,2,0,2013,9
66,2013-02-27,4,1,0,1,0,0,1,2013,9
66,2013-02-28,14,6,0,7,0,3,0,2013,9
66,2013-03-01,6,0,0,0,0,0,0,2013,9
66,2013-03-02,4,0,0,0,0,0,0,2013,9
66,2013-03-03,1,1,0,1,0,0,0,2013,9
66,2013-03-04,18,5,0,6,0,1,2,2013,10
66,2013-03-05,6,1,0,1,0,0,0,2013,10
66,2013-03-06,7,3,0,3,0,0,1,2013,10
66,2013-03-07,8,1,0,1,0,0,1,2013,10
66,2013-03-08,12,2,1,2,1,2,1,2013,10
66,2013-03-09,3,0,0,0,0,0,0,2013,10
66,2013-03-10,4,1,0,3,0,0,0,2013,10
66,2013-03-11,8,0,0,0,0,0,0,2013,11
66,2013-03-12,7,2,0,2,0,0,1,2013,11
66,2013-03-13,4,0,0,0,0,0,0,2013,11
66,2013-03-14,9,3,0,3,0,0,1,2013,11
66,2013-03-15,7,1,0,1,0,0,0,2013,11
66,2013-03-16,2,1,0,1,0,0,0,2013,11
66,2013-03-17,8,0,0,0,0,0,0,2013,11
66,2013-03-18,10,4,0,5,0,0,1,2013,12
66,2013-03-19,15,3,0,3,0,1,2,2013,12
66,2013-03-20,12,3,0,3,0,1,1,2013,12
66,2013-03-21,10,2,0,2,0,1,1,2013,12
66,2013-03-22,5,0,0,0,0,0,0,2013,12
66,2013-03-23,3,1,0,1,0,0,1,2013,12
66,2013-03-24,5,0,0,0,0,0,0,2013,12
66,2013-03-25,8,1,0,1,0,0,0,2013,13
66,2013-03-26,4,1,0,1,0,1,0,2013,13
66,2013-03-27,2,0,0,0,0,0,0,2013,13
66,2013-03-28,6,2,0,3,0,0,1,2013,13
66,2013-03-29,2,0,0,0,0,0,0,2013,13
66,2013-03-30,3,0,0,0,0,0,0,2013,13
66,2013-03-31,5,1,0,1,0,0,0,2013,13
66,2013-04-01,3,0,0,0,0,0,0,2013,14
66,2013-04-02,1,0,0,0,0,0,0,2013,14
66,2013-04-03,5,2,0,3,0,0,2,2013,14
66,2013-04-04,13,3,0,5,0,0,1,2013,14
66,2013-04-05,4,2,0,2,0,1,1,2013,14
66,2013-04-06,2,0,0,0,0,0,0,2013,14
66,2013-04-07,8,3,0,3,0,0,2,2013,14
66,2013-04-08,9,1,0,1,0,0,0,2013,15
66,2013-04-09,6,2,0,2,0,1,0,2013,15
66,2013-04-10,14,6,0,7,0,1,4,2013,15
66,2013-04-11,8,2,0,2,0,0,2,2013,15
66,2013-04-12,8,1,0,3,0,0,3,2013,15
66,2013-04-13,3,0,0,0,0,0,0,2013,15
66,2013-04-14,9,3,0,3,0,0,1,2013,15
66,2013-04-15,11,7,0,9,0,0,3,2013,16
66,2013-04-16,8,2,0,2,0,0,0,2013,16
66,2013-04-17,9,2,0,3,0,0,1,2013,16
66,2013-04-18,12,1,0,1,0,0,0,2013,16
66,2013-04-19,6,1,0,1,0,0,1,2013,16
66,2013-04-20,7,3,0,6,0,1,1,2013,16
66,2013-04-21,1,0,0,0,0,0,0,2013,16
66,2013-04-22,10,2,0,2,0,0,1,2013,17
66,2013-04-23,6,0,0,0,0,0,0,2013,17
66,2013-04-24,10,5,0,6,0,0,4,2013,17
66,2013-04-25,6,3,0,3,0,2,1,2013,17
66,2013-04-26,8,2,0,5,0,0,0,2013,17
66,2013-04-27,3,2,0,2,0,0,1,2013,17
66,2013-04-28,6,1,0,1,0,0,1,2013,17
66,2013-04-29,6,0,0,0,0,0,0,2013,18
66,2013-04-30,9,0,0,0,0,0,0,2013,18
66,2013-05-01,10,4,0,5,0,1,2,2013,18
66,2013-05-02,11,4,0,4,0,1,2,2013,18
66,2013-05-03,8,1,0,1,0,1,0,2013,18
66,2013-05-04,5,1,0,1,0,0,1,2013,18
66,2013-05-05,3,0,0,0,0,0,0,2013,18
66,2013-05-06,4,0,0,0,0,0,0,2013,19
66,2013-05-07,13,3,0,3,0,0,0,2013,19
66,2013-05-08,10,4,0,4,0,1,1,2013,19
66,2013-05-09,6,1,0,2,0,0,0,2013,19
66,2013-05-10,10,3,0,3,0,2,0,2013,19
66,2013-05-11,4,0,0,0,0,0,0,2013,19
66,2013-05-12,14,5,0,6,0,0,1,2013,19
66,2013-05-13,11,0,0,0,0,0,0,2013,20
66,2013-05-14,8,3,0,3,0,0,2,2013,20
66,2013-05-15,1,0,0,0,0,0,0,2013,20
66,2013-05-17,9,7,0,9,0,2,5,2013,20
66,2013-05-18,5,3,0,3,0,1,2,2013,20
66,2013-05-19,6,3,0,3,0,0,1,2013,20
66,2013-05-20,12,3,0,5,0,1,0,2013,21
66,2013-05-21,6,2,0,7,0,0,0,2013,21
66,2013-05-22,9,2,0,2,0,1,0,2013,21
66,2013-05-23,13,4,0,6,0,0,3,2013,21
66,2013-05-24,10,4,0,4,0,0,3,2013,21
