precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
24,2012-07-01,1,1,0,1,0,0,1,2012,26
24,2012-07-02,2,0,0,0,0,0,0,2012,27
24,2012-07-03,5,1,0,1,0,0,0,2012,27
24,2012-07-04,3,0,0,0,0,0,0,2012,27
24,2012-07-05,4,1,0,1,0,0,1,2012,27
24,2012-07-06,6,3,0,3,0,1,1,2012,27
24,2012-07-07,3,2,0,2,0,0,1,2012,27
24,2012-07-08,2,0,0,0,0,0,0,2012,27
24,2012-07-09,5,0,0,0,0,0,0,2012,28
24,2012-07-10,3,0,0,0,0,0,0,2012,28
24,2012-07-11,5,0,0,0,0,0,0,2012,28
24,2012-07-12,2,0,0,0,0,0,0,2012,28
24,2012-07-13,7,1,0,1,0,0,1,2012,28
24,2012-07-14,5,1,1,1,1,0,1,2012,28
24,2012-07-15,4,1,0,1,0,0,1,2012,28
24,2012-07-16,1,0,0,0,0,0,0,2012,29
24,2012-07-17,6,0,0,0,0,0,0,2012,29
24,2012-07-19,3,0,0,0,0,0,0,2012,29
24,2012-07-20,2,0,0,0,0,0,0,2012,29
24,2012-07-21,4,1,0,2,0,0,0,2012,29
24,2012-07-23,2,1,0,1,0,0,0,2012,30
24,2012-07-24,4,0,0,0,0,0,0,2012,30
24,2012-07-26,5,1,0,1,0,0,1,2012,30
24,2012-07-27,2,0,0,0,0,0,0,2012,30
24,2012-07-28,4,0,0,0,0,0,0,2012,30
24,2012-07-29,2,0,0,0,0,0,0,2012,30
24,2012-07-30,3,0,0,0,0,0,0,2012,31
24,2012-07-31,1,0,0,0,0,0,0,2012,31
24,2012-08-01,2,0,0,0,0,0,0,2012,31
24,2012-08-02,1,0,0,0,0,0,0,2012,31
24,2012-08-03,1,0,0,0,0,0,0,2012,31
24,2012-08-04,3,1,0,1,0,0,0,2012,31
24,2012-08-05,1,1,0,1,0,0,1,2012,31
24,2012-08-06,1,0,0,0,0,0,0,2012,32
24,2012-08-07,3,1,0,1,0,0,1,2012,32
24,2012-08-08,6,0,0,0,0,0,0,2012,32
24,2012-08-09,4,0,0,0,0,0,0,2012,32
24,2012-08-10,3,0,0,0,0,0,0,2012,32
24,2012-08-12,3,1,0,1,0,0,1,2012,32
24,2012-08-13,4,0,0,0,0,0,0,2012,33
24,2012-08-14,1,0,0,0,0,0,0,2012,33
24,2012-08-15,3,0,0,0,0,0,0,2012,33
24,2012-08-16,3,0,0,0,0,0,0,2012,33
24,2012-08-17,3,1,0,1,0,0,0,2012,33
24,2012-08-18,2,1,0,1,0,0,1,2012,33
24,2012-08-19,1,0,0,0,0,0,0,2012,33
24,2012-08-20,2,1,0,1,0,0,0,2012,34
24,2012-08-21,2,1,0,1,0,1,0,2012,34
24,2012-08-22,2,0,0,0,0,0,0,2012,34
24,2012-08-23,6,0,0,0,0,0,0,2012,34
24,2012-08-24,4,0,0,0,0,0,0,2012,34
24,2012-08-25,3,0,0,0,0,0,0,2012,34
24,2012-08-27,2,1,0,1,0,0,0,2012,35
24,2012-08-28,4,0,0,0,0,0,0,2012,35
24,2012-08-29,7,0,0,0,0,0,0,2012,35
24,2012-08-30,1,0,0,0,0,0,0,2012,35
24,2012-08-31,3,1,0,1,0,1,0,2012,35
24,2012-09-01,3,0,0,0,0,0,0,2012,35
24,2012-09-02,1,0,0,0,0,0,0,2012,35
24,2012-09-04,2,1,0,1,0,0,0,2012,36
24,2012-09-05,9,4,0,4,0,2,2,2012,36
24,2012-09-06,5,0,0,0,0,0,0,2012,36
24,2012-09-07,4,0,0,0,0,0,0,2012,36
24,2012-09-08,1,0,0,0,0,0,0,2012,36
24,2012-09-09,3,1,0,1,0,0,0,2012,36
24,2012-09-11,3,0,0,0,0,0,0,2012,37
24,2012-09-12,4,1,0,1,0,0,0,2012,37
24,2012-09-13,4,1,0,1,0,0,0,2012,37
24,2012-09-14,2,0,0,0,0,0,0,2012,37
24,2012-09-15,3,0,0,0,0,0,0,2012,37
24,2012-09-16,1,1,0,2,0,0,0,2012,37
24,2012-09-17,7,0,0,0,0,0,0,2012,38
24,2012-09-18,5,1,0,1,0,0,0,2012,38
24,2012-09-19,3,2,0,3,0,1,0,2012,38
24,2012-09-20,3,0,0,0,0,0,0,2012,38
24,2012-09-21,4,1,0,1,0,0,1,2012,38
24,2012-09-22,4,0,0,0,0,0,0,2012,38
24,2012-09-23,5,0,0,0,0,0,0,2012,38
24,2012-09-24,3,1,0,1,0,0,1,2012,39
24,2012-09-25,1,0,0,0,0,0,0,2012,39
24,2012-09-26,1,0,0,0,0,0,0,2012,39
24,2012-09-27,5,1,0,1,0,1,0,2012,39
24,2012-09-28,4,1,0,1,0,0,0,2012,39
24,2012-09-29,6,2,0,2,0,0,2,2012,39
24,2012-09-30,4,0,0,0,0,0,0,2012,39
24,2012-10-01,3,0,0,0,0,0,0,2012,40
24,2012-10-02,2,0,0,0,0,0,0,2012,40
24,2012-10-03,1,0,0,0,0,0,0,2012,40
24,2012-10-04,5,0,0,0,0,0,0,2012,40
24,2012-10-05,4,0,0,0,0,0,0,2012,40
24,2012-10-06,5,1,0,1,0,0,0,2012,40
24,2012-10-07,5,1,0,1,0,0,1,2012,40
24,2012-10-08,5,0,0,0,0,0,0,2012,41
24,2012-10-09,3,2,1,2,1,0,1,2012,41
24,2012-10-10,4,0,0,0,0,0,0,2012,41
24,2012-10-11,4,1,0,1,0,0,0,2012,41
24,2012-10-12,2,0,0,0,0,0,0,2012,41
24,2012-10-13,2,1,0,1,0,0,0,2012,41
24,2012-10-14,2,1,0,1,0,1,0,2012,41
24,2012-10-15,3,2,0,2,0,1,1,2012,42
24,2012-10-16,2,0,0,0,0,0,0,2012,42
24,2012-10-17,2,0,0,0,0,0,0,2012,42
24,2012-10-18,5,1,0,1,0,0,0,2012,42
24,2012-10-19,6,1,0,1,0,0,0,2012,42
24,2012-10-20,2,1,0,1,0,0,0,2012,42
24,2012-10-21,2,0,0,0,0,0,0,2012,42
24,2012-10-22,5,0,0,0,0,0,0,2012,43
24,2012-10-23,5,1,0,1,0,0,1,2012,43
24,2012-10-24,2,0,0,0,0,0,0,2012,43
24,2012-10-25,1,0,0,0,0,0,0,2012,43
24,2012-10-26,4,1,0,1,0,0,1,2012,43
24,2012-10-28,3,1,0,1,0,1,0,2012,43
24,2012-10-29,7,0,0,0,0,0,0,2012,44
24,2012-10-30,5,0,0,0,0,0,0,2012,44
24,2012-10-31,5,1,0,1,0,0,1,2012,44
24,2012-11-01,3,1,0,1,0,0,0,2012,44
24,2012-11-02,4,0,0,0,0,0,0,2012,44
24,2012-11-03,3,1,0,1,0,0,1,2012,44
24,2012-11-04,1,0,0,0,0,0,0,2012,44
24,2012-11-05,1,0,0,0,0,0,0,2012,45
24,2012-11-06,2,0,0,0,0,0,0,2012,45
24,2012-11-07,5,1,0,1,0,0,0,2012,45
24,2012-11-08,3,0,0,0,0,0,0,2012,45
24,2012-11-09,4,1,0,1,0,0,1,2012,45
24,2012-11-10,1,0,0,0,0,0,0,2012,45
24,2012-11-11,3,0,0,0,0,0,0,2012,45
24,2012-11-12,2,1,0,1,0,0,0,2012,46
24,2012-11-13,4,1,0,1,0,0,0,2012,46
24,2012-11-14,1,0,0,0,0,0,0,2012,46
24,2012-11-15,3,0,0,0,0,0,0,2012,46
24,2012-11-16,1,0,0,0,0,0,0,2012,46
24,2012-11-17,5,0,0,0,0,0,0,2012,46
24,2012-11-18,1,0,0,0,0,0,0,2012,46
24,2012-11-19,3,1,0,1,0,0,1,2012,47
24,2012-11-20,6,0,0,0,0,0,0,2012,47
24,2012-11-21,4,0,0,0,0,0,0,2012,47
24,2012-11-22,3,0,0,0,0,0,0,2012,47
24,2012-11-23,3,0,0,0,0,0,0,2012,47
24,2012-11-24,2,0,0,0,0,0,0,2012,47
24,2012-11-25,3,1,0,1,0,1,0,2012,47
24,2012-11-26,2,0,0,0,0,0,0,2012,48
24,2012-11-27,2,0,0,0,0,0,0,2012,48
24,2012-11-28,3,1,0,1,0,0,1,2012,48
24,2012-11-29,1,0,0,0,0,0,0,2012,48
24,2012-11-30,3,0,0,0,0,0,0,2012,48
24,2012-12-01,2,0,0,0,0,0,0,2012,48
24,2012-12-02,3,2,0,2,0,1,1,2012,48
24,2012-12-03,5,1,0,1,0,0,0,2012,49
24,2012-12-04,3,0,0,0,0,0,0,2012,49
24,2012-12-05,1,1,0,1,0,0,1,2012,49
24,2012-12-06,3,0,0,0,0,0,0,2012,49
24,2012-12-07,3,1,0,1,0,0,1,2012,49
24,2012-12-08,2,1,0,1,0,0,1,2012,49
24,2012-12-09,7,1,0,1,0,0,1,2012,49
24,2012-12-10,4,0,0,0,0,0,0,2012,50
24,2012-12-11,4,1,0,1,0,0,0,2012,50
24,2012-12-12,4,1,0,1,0,0,1,2012,50
24,2012-12-13,3,0,0,0,0,0,0,2012,50
