row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
19,102,1,2012,8,3,0,3,0,1,1,2012-12-31 through 2013-01-06
106,102,26,2012,6,0,0,0,0,0,0,2012-06-25 through 2012-07-01
174,102,27,2012,67,19,0,31,0,5,2,2012-07-02 through 2012-07-08
253,102,28,2012,42,10,0,13,0,0,4,2012-07-09 through 2012-07-15
332,102,29,2012,62,8,0,13,0,2,2,2012-07-16 through 2012-07-22
413,102,30,2012,64,13,0,17,0,3,1,2012-07-23 through 2012-07-29
490,102,31,2012,62,15,0,24,0,1,4,2012-07-30 through 2012-08-05
569,102,32,2012,49,12,0,17,0,1,2,2012-08-06 through 2012-08-12
646,102,33,2012,44,10,0,14,0,1,1,2012-08-13 through 2012-08-19
723,102,34,2012,50,10,0,16,0,5,1,2012-08-20 through 2012-08-26
800,102,35,2012,49,10,0,10,0,2,4,2012-08-27 through 2012-09-02
879,102,36,2012,54,12,0,17,0,1,5,2012-09-03 through 2012-09-09
956,102,37,2012,49,10,0,12,0,0,4,2012-09-10 through 2012-09-16
1031,102,38,2012,51,11,0,12,0,0,4,2012-09-17 through 2012-09-23
1110,102,39,2012,54,14,1,19,1,1,4,2012-09-24 through 2012-09-30
1185,102,40,2012,60,14,0,19,0,0,4,2012-10-01 through 2012-10-07
1264,102,41,2012,41,8,0,16,0,0,1,2012-10-08 through 2012-10-14
1341,102,42,2012,47,13,0,25,0,0,0,2012-10-15 through 2012-10-21
1422,102,43,2012,43,13,0,17,0,1,4,2012-10-22 through 2012-10-28
1501,102,44,2012,35,7,0,10,0,2,3,2012-10-29 through 2012-11-04
1578,102,45,2012,53,11,0,17,0,1,2,2012-11-05 through 2012-11-11
1655,102,46,2012,60,10,0,14,0,0,3,2012-11-12 through 2012-11-18
1732,102,47,2012,59,10,0,14,0,0,2,2012-11-19 through 2012-11-25
1809,102,48,2012,61,13,0,15,0,1,3,2012-11-26 through 2012-12-02
1886,102,49,2012,79,16,0,22,0,0,6,2012-12-03 through 2012-12-09
1967,102,50,2012,49,4,0,7,0,0,0,2012-12-10 through 2012-12-16
2046,102,51,2012,62,11,0,14,0,0,4,2012-12-17 through 2012-12-23
2123,102,52,2012,37,5,0,7,0,0,4,2012-12-24 through 2012-12-30
2184,102,1,2013,53,10,0,15,0,0,7,2012-12-31 through 2013-01-06
2198,102,1,2013,11,6,0,8,0,1,0,2013-12-30 through 2014-01-05
2326,102,10,2013,58,6,0,7,0,0,0,2013-03-04 through 2013-03-10
2407,102,11,2013,48,8,0,11,0,1,1,2013-03-11 through 2013-03-17
2480,102,12,2013,54,5,0,7,0,1,2,2013-03-18 through 2013-03-24
2559,102,13,2013,50,14,0,15,0,0,5,2013-03-25 through 2013-03-31
2636,102,14,2013,54,9,0,15,0,1,1,2013-04-01 through 2013-04-07
2713,102,15,2013,58,15,0,16,0,1,3,2013-04-08 through 2013-04-14
2790,102,16,2013,50,10,0,13,0,0,3,2013-04-15 through 2013-04-21
2867,102,17,2013,59,8,0,12,0,1,1,2013-04-22 through 2013-04-28
2964,102,18,2013,63,19,0,27,0,2,3,2013-04-29 through 2013-05-05
3053,102,19,2013,45,10,0,14,0,2,4,2013-05-06 through 2013-05-12
3104,102,2,2013,52,16,0,23,0,2,10,2013-01-07 through 2013-01-13
3181,102,20,2013,54,9,1,14,1,1,2,2013-05-13 through 2013-05-19
3258,102,21,2013,59,15,0,17,0,2,3,2013-05-20 through 2013-05-26
3333,102,22,2013,68,6,0,11,0,0,0,2013-05-27 through 2013-06-02
3414,102,23,2013,66,14,0,15,0,3,3,2013-06-03 through 2013-06-09
3491,102,24,2013,66,17,0,29,0,5,2,2013-06-10 through 2013-06-16
3570,102,25,2013,61,16,0,23,0,4,0,2013-06-17 through 2013-06-23
3645,102,26,2013,63,8,0,10,0,1,3,2013-06-24 through 2013-06-30
3724,102,27,2013,59,10,0,13,0,0,3,2013-07-01 through 2013-07-07
3803,102,28,2013,61,3,0,3,0,1,1,2013-07-08 through 2013-07-14
3878,102,29,2013,65,8,0,11,0,1,1,2013-07-15 through 2013-07-21
3957,102,3,2013,57,11,0,13,0,0,3,2013-01-14 through 2013-01-20
4044,102,30,2013,56,11,2,12,2,0,3,2013-07-22 through 2013-07-28
4117,102,31,2013,54,11,0,18,0,0,2,2013-07-29 through 2013-08-04
4196,102,32,2013,47,12,0,23,0,3,0,2013-08-05 through 2013-08-11
4273,102,33,2013,49,9,0,12,0,3,2,2013-08-12 through 2013-08-18
4350,102,34,2013,54,15,0,21,0,3,5,2013-08-19 through 2013-08-25
4431,102,35,2013,54,17,0,23,0,3,6,2013-08-26 through 2013-09-01
4504,102,36,2013,57,14,0,16,0,2,1,2013-09-02 through 2013-09-08
4579,102,37,2013,68,14,1,22,1,2,2,2013-09-09 through 2013-09-15
4660,102,38,2013,65,11,0,19,0,3,1,2013-09-16 through 2013-09-22
4737,102,39,2013,64,6,0,7,0,0,3,2013-09-23 through 2013-09-29
4810,102,4,2013,48,13,0,16,0,1,5,2013-01-21 through 2013-01-27
4917,102,40,2013,65,12,0,19,0,2,1,2013-09-30 through 2013-10-06
4973,102,41,2013,48,8,0,8,0,1,1,2013-10-07 through 2013-10-13
5050,102,42,2013,65,12,0,16,0,2,3,2013-10-14 through 2013-10-20
5128,102,43,2013,68,13,0,13,0,1,2,2013-10-21 through 2013-10-27
5202,102,44,2013,65,10,0,16,0,2,1,2013-10-28 through 2013-11-03
5301,102,45,2013,54,9,0,12,0,0,4,2013-11-04 through 2013-11-10
5358,102,46,2013,77,18,0,30,0,3,3,2013-11-11 through 2013-11-17
5456,102,47,2013,60,8,0,12,0,0,1,2013-11-18 through 2013-11-24
5469,102,48,2013,57,5,0,6,0,0,3,2013-11-25 through 2013-12-01
5592,102,49,2013,58,10,1,14,1,0,6,2013-12-02 through 2013-12-08
5649,102,5,2013,72,16,0,29,0,0,3,2013-01-28 through 2013-02-03
5747,102,50,2013,58,9,0,13,0,0,3,2013-12-09 through 2013-12-15
5823,102,51,2013,65,12,0,18,0,0,6,2013-12-16 through 2013-12-22
5890,102,52,2013,49,5,0,11,0,0,1,2013-12-23 through 2013-12-29
5941,102,6,2013,56,9,0,10,0,0,5,2013-02-04 through 2013-02-10
6051,102,7,2013,49,5,1,6,1,0,2,2013-02-11 through 2013-02-17
6128,102,8,2013,49,7,0,8,0,0,2,2013-02-18 through 2013-02-24
6197,102,9,2013,53,11,0,12,0,1,4,2013-02-25 through 2013-03-03
6301,102,1,2014,31,3,0,3,0,0,0,2013-12-30 through 2014-01-05
6302,102,1,2014,15,3,0,3,0,0,0,2014-12-29 through 2015-01-04
6423,102,10,2014,64,15,1,19,1,0,3,2014-03-03 through 2014-03-09
6503,102,11,2014,57,9,0,19,0,0,1,2014-03-10 through 2014-03-16
6574,102,12,2014,51,6,0,6,0,0,1,2014-03-17 through 2014-03-23
6652,102,13,2014,56,9,0,13,0,0,2,2014-03-24 through 2014-03-30
6729,102,14,2014,49,7,0,11,0,0,2,2014-03-31 through 2014-04-06
6804,102,15,2014,66,9,0,12,0,1,3,2014-04-07 through 2014-04-13
6882,102,16,2014,52,9,0,16,0,1,2,2014-04-14 through 2014-04-20
6978,102,17,2014,61,14,1,23,1,1,4,2014-04-21 through 2014-04-27
7033,102,18,2014,51,8,0,11,0,0,5,2014-04-28 through 2014-05-04
7112,102,19,2014,66,13,1,23,1,2,5,2014-05-05 through 2014-05-11
7177,102,2,2014,47,8,0,10,0,0,4,2014-01-06 through 2014-01-12
7272,102,20,2014,58,13,0,19,0,1,6,2014-05-12 through 2014-05-18
7353,102,21,2014,57,7,0,8,0,1,0,2014-05-19 through 2014-05-25
7442,102,22,2014,69,11,0,17,0,2,2,2014-05-26 through 2014-06-01
7498,102,23,2014,67,16,0,21,0,2,2,2014-06-02 through 2014-06-08
7575,102,24,2014,47,6,0,11,0,1,1,2014-06-09 through 2014-06-15
7654,102,25,2014,72,14,0,17,0,1,2,2014-06-16 through 2014-06-22
7766,102,26,2014,59,16,0,24,0,3,0,2014-06-23 through 2014-06-29
7808,102,27,2014,48,11,0,14,0,2,1,2014-06-30 through 2014-07-06
7891,102,28,2014,62,13,1,18,1,1,2,2014-07-07 through 2014-07-13
7937,102,29,2014,53,9,0,11,0,0,2,2014-07-14 through 2014-07-20
8070,102,3,2014,48,9,0,18,0,1,3,2014-01-13 through 2014-01-19
8101,102,30,2014,56,11,0,19,0,0,3,2014-07-21 through 2014-07-27
8194,102,31,2014,56,14,0,18,0,1,2,2014-07-28 through 2014-08-03
8270,102,32,2014,74,15,0,20,0,1,2,2014-08-04 through 2014-08-10
8365,102,33,2014,65,20,0,26,0,3,5,2014-08-11 through 2014-08-17
8453,102,34,2014,59,9,0,14,0,1,2,2014-08-18 through 2014-08-24
8481,102,35,2014,52,11,0,12,0,2,2,2014-08-25 through 2014-08-31
8595,102,36,2014,48,1,0,2,0,0,0,2014-09-01 through 2014-09-07
8632,102,37,2014,59,13,0,19,0,0,2,2014-09-08 through 2014-09-14
8736,102,38,2014,77,19,0,27,0,1,3,2014-09-15 through 2014-09-21
8845,102,39,2014,62,9,0,11,0,1,3,2014-09-22 through 2014-09-28
8888,102,4,2014,69,11,0,12,0,0,4,2014-01-20 through 2014-01-26
8984,102,40,2014,84,17,0,23,0,1,4,2014-09-29 through 2014-10-05
9006,102,41,2014,64,11,0,12,0,1,4,2014-10-06 through 2014-10-12
9122,102,42,2014,64,9,0,13,0,0,0,2014-10-13 through 2014-10-19
9223,102,43,2014,76,19,0,28,0,2,3,2014-10-20 through 2014-10-26
9266,102,44,2014,67,13,0,15,0,1,3,2014-10-27 through 2014-11-02
9379,102,45,2014,64,7,0,11,0,1,3,2014-11-03 through 2014-11-09
9397,102,46,2014,64,17,0,24,0,1,5,2014-11-10 through 2014-11-16
9517,102,47,2014,59,10,0,16,0,0,4,2014-11-17 through 2014-11-23
9572,102,48,2014,58,11,0,11,0,1,5,2014-11-24 through 2014-11-30
9660,102,49,2014,59,12,0,13,0,0,2,2014-12-01 through 2014-12-07
9728,102,5,2014,56,11,0,21,0,0,4,2014-01-27 through 2014-02-02
9835,102,50,2014,82,18,1,34,1,1,6,2014-12-08 through 2014-12-14
9918,102,51,2014,45,6,0,6,0,0,2,2014-12-15 through 2014-12-21
9934,102,52,2014,52,12,0,17,0,0,4,2014-12-22 through 2014-12-28
10053,102,6,2014,62,6,0,7,0,0,2,2014-02-03 through 2014-02-09
10114,102,7,2014,78,10,0,13,0,0,1,2014-02-10 through 2014-02-16
10206,102,8,2014,50,5,0,12,0,0,1,2014-02-17 through 2014-02-23
10240,102,9,2014,53,9,0,13,0,0,2,2014-02-24 through 2014-03-02
10334,102,1,2015,28,8,0,14,0,0,1,2014-12-29 through 2015-01-04
10413,102,10,2015,74,11,0,15,0,0,2,2015-03-02 through 2015-03-08
10491,102,11,2015,73,8,0,13,0,0,4,2015-03-09 through 2015-03-15
10567,102,12,2015,58,10,0,14,0,1,2,2015-03-16 through 2015-03-22
10651,102,13,2015,74,10,0,15,0,1,0,2015-03-23 through 2015-03-29
10722,102,14,2015,60,8,0,11,0,0,2,2015-03-30 through 2015-04-05
10801,102,15,2015,48,7,0,15,0,0,0,2015-04-06 through 2015-04-12
10878,102,16,2015,18,1,0,1,0,1,0,2015-04-13 through 2015-04-19
10973,102,2,2015,67,11,0,17,0,0,3,2015-01-05 through 2015-01-11
11066,102,3,2015,55,12,0,14,0,1,6,2015-01-12 through 2015-01-18
11128,102,4,2015,40,11,0,18,0,1,5,2015-01-19 through 2015-01-25
11170,102,5,2015,62,7,0,9,0,0,0,2015-01-26 through 2015-02-01
11283,102,6,2015,59,9,0,10,0,1,2,2015-02-02 through 2015-02-08
11330,102,7,2015,62,10,0,20,0,0,2,2015-02-09 through 2015-02-15
11425,102,8,2015,66,11,0,14,0,0,2,2015-02-16 through 2015-02-22
11468,102,9,2015,55,12,0,20,0,0,2,2015-02-23 through 2015-03-01
