year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,33,2012-06-25 through 2012-07-01,1,0,0,0,0,0,0,1
2012,27,33,2012-07-02 through 2012-07-08,27,5,0,7,0,1,0,2
2012,28,33,2012-07-09 through 2012-07-15,25,5,0,9,0,1,0,3
2012,29,33,2012-07-16 through 2012-07-22,25,5,0,8,0,1,0,4
2012,30,33,2012-07-23 through 2012-07-29,25,10,0,15,0,0,2,5
2012,31,33,2012-07-30 through 2012-08-05,26,9,0,14,0,1,2,6
2012,32,33,2012-08-06 through 2012-08-12,21,2,0,4,0,1,0,7
2012,33,33,2012-08-13 through 2012-08-19,21,3,0,5,0,0,0,8
2012,34,33,2012-08-20 through 2012-08-26,22,4,0,4,0,2,1,9
2012,35,33,2012-08-27 through 2012-09-02,39,6,0,6,0,0,4,10
2012,36,33,2012-09-03 through 2012-09-09,25,4,0,10,0,1,0,11
2012,37,33,2012-09-10 through 2012-09-16,20,4,0,4,0,1,2,12
2012,38,33,2012-09-17 through 2012-09-23,20,6,0,6,0,0,2,13
2012,39,33,2012-09-24 through 2012-09-30,28,3,0,4,0,0,2,14
2012,40,33,2012-10-01 through 2012-10-07,24,6,0,11,0,0,3,15
2012,41,33,2012-10-08 through 2012-10-14,21,1,0,1,0,0,0,16
2012,42,33,2012-10-15 through 2012-10-21,21,5,0,14,0,0,3,17
2012,43,33,2012-10-22 through 2012-10-28,16,4,0,7,0,0,2,18
2012,44,33,2012-10-29 through 2012-11-04,29,2,0,4,0,0,1,19
2012,45,33,2012-11-05 through 2012-11-11,21,4,0,4,0,0,4,20
2012,46,33,2012-11-12 through 2012-11-18,19,2,0,4,0,0,1,21
2012,47,33,2012-11-19 through 2012-11-25,26,5,0,11,0,1,1,22
2012,48,33,2012-11-26 through 2012-12-02,23,5,0,9,0,0,2,23
2012,49,33,2012-12-03 through 2012-12-09,37,10,0,11,0,0,5,24
2012,50,33,2012-12-10 through 2012-12-16,19,2,0,2,0,1,1,25
2012,51,33,2012-12-17 through 2012-12-23,26,4,0,6,0,0,2,26
2012,52,33,2012-12-24 through 2012-12-30,24,3,0,4,0,0,1,27
2013,1,33,2012-12-31 through 2013-01-06,12,1,0,1,0,0,0,28
2013,2,33,2013-01-07 through 2013-01-13,24,3,0,3,0,0,1,29
2013,3,33,2013-01-14 through 2013-01-20,28,6,0,7,0,0,4,30
2013,4,33,2013-01-21 through 2013-01-27,23,4,0,7,0,0,2,31
2013,5,33,2013-01-28 through 2013-02-03,31,7,0,11,0,0,2,32
2013,6,33,2013-02-04 through 2013-02-10,23,4,0,4,0,0,2,33
2013,7,33,2013-02-11 through 2013-02-17,15,3,0,3,0,0,2,34
2013,8,33,2013-02-18 through 2013-02-24,20,4,0,5,0,0,1,35
2013,9,33,2013-02-25 through 2013-03-03,21,4,0,4,0,0,1,36
2013,10,33,2013-03-04 through 2013-03-10,30,2,0,2,0,1,0,37
2013,11,33,2013-03-11 through 2013-03-17,21,4,0,6,0,0,3,38
2013,12,33,2013-03-18 through 2013-03-24,21,6,0,7,0,0,5,39
2013,13,33,2013-03-25 through 2013-03-31,15,3,0,5,0,0,1,40
2013,14,33,2013-04-01 through 2013-04-07,22,2,0,8,0,0,0,41
2013,15,33,2013-04-08 through 2013-04-14,30,7,0,11,0,0,3,42
2013,16,33,2013-04-15 through 2013-04-21,26,2,0,2,0,0,1,43
2013,17,33,2013-04-22 through 2013-04-28,19,5,0,6,0,0,3,44
2013,18,33,2013-04-29 through 2013-05-05,19,0,0,0,0,0,0,45
2013,19,33,2013-05-06 through 2013-05-12,25,5,0,5,0,0,4,46
2013,20,33,2013-05-13 through 2013-05-19,18,2,0,3,0,0,0,47
2013,21,33,2013-05-20 through 2013-05-26,22,2,0,2,0,0,1,48
2013,22,33,2013-05-27 through 2013-06-02,43,9,0,9,0,1,4,49
2013,23,33,2013-06-03 through 2013-06-09,28,9,0,14,0,0,7,50
2013,24,33,2013-06-10 through 2013-06-16,27,7,0,11,0,1,2,51
2013,25,33,2013-06-17 through 2013-06-23,39,8,0,14,0,1,3,52
2013,26,33,2013-06-24 through 2013-06-30,23,2,0,2,0,0,0,53
2013,27,33,2013-07-01 through 2013-07-07,27,9,0,10,0,1,1,54
2013,28,33,2013-07-08 through 2013-07-14,33,8,0,10,0,1,0,55
2013,29,33,2013-07-15 through 2013-07-21,22,7,0,14,0,1,2,56
2013,30,33,2013-07-22 through 2013-07-28,29,4,0,7,0,1,0,57
2013,31,33,2013-07-29 through 2013-08-04,21,6,0,7,0,1,4,58
2013,32,33,2013-08-05 through 2013-08-11,20,8,0,12,0,0,5,59
2013,33,33,2013-08-12 through 2013-08-18,18,1,0,4,0,0,0,60
2013,34,33,2013-08-19 through 2013-08-25,21,6,0,9,0,0,3,61
2013,35,33,2013-08-26 through 2013-09-01,15,4,0,4,0,1,1,62
2013,36,33,2013-09-02 through 2013-09-08,17,5,0,8,0,2,1,63
2013,37,33,2013-09-09 through 2013-09-15,20,4,0,7,0,0,1,64
2013,38,33,2013-09-16 through 2013-09-22,29,7,0,9,0,0,4,65
2013,39,33,2013-09-23 through 2013-09-29,27,2,0,2,0,0,1,66
2013,40,33,2013-09-30 through 2013-10-06,19,8,0,11,0,1,3,67
2013,41,33,2013-10-07 through 2013-10-13,21,4,0,6,0,1,0,68
2013,42,33,2013-10-14 through 2013-10-20,19,2,1,2,1,1,2,69
2013,43,33,2013-10-21 through 2013-10-27,22,4,0,6,0,0,1,70
2013,44,33,2013-10-28 through 2013-11-03,17,2,0,3,0,0,0,71
2013,45,33,2013-11-04 through 2013-11-10,22,3,0,3,0,1,1,72
2013,46,33,2013-11-11 through 2013-11-17,16,3,0,5,0,0,0,73
2013,47,33,2013-11-18 through 2013-11-24,26,5,0,8,0,0,2,74
2013,48,33,2013-11-25 through 2013-12-01,31,6,0,6,0,0,3,75
2013,49,33,2013-12-02 through 2013-12-08,28,8,0,10,0,2,3,76
2013,50,33,2013-12-09 through 2013-12-15,24,5,0,11,0,0,3,77
2013,51,33,2013-12-16 through 2013-12-22,25,6,0,6,0,1,2,78
2013,52,33,2013-12-23 through 2013-12-29,20,5,0,7,0,1,1,79
2014,1,33,2013-12-30 through 2014-01-05,12,2,0,8,0,0,1,80
2014,2,33,2014-01-06 through 2014-01-12,25,3,0,3,0,0,3,81
2014,3,33,2014-01-13 through 2014-01-19,25,5,0,6,0,0,3,82
2014,4,33,2014-01-20 through 2014-01-26,29,7,0,9,0,0,5,83
2014,5,33,2014-01-27 through 2014-02-02,17,2,0,2,0,0,2,84
2014,6,33,2014-02-03 through 2014-02-09,22,1,0,1,0,1,0,85
2014,7,33,2014-02-10 through 2014-02-16,22,5,0,5,0,1,3,86
2014,8,33,2014-02-17 through 2014-02-23,24,6,0,9,0,0,4,87
2014,9,33,2014-02-24 through 2014-03-02,27,3,0,3,0,1,1,88
2014,10,33,2014-03-03 through 2014-03-09,22,4,0,4,0,0,4,89
2014,11,33,2014-03-10 through 2014-03-16,23,6,0,7,0,0,4,90
2014,12,33,2014-03-17 through 2014-03-23,19,4,0,4,0,1,2,91
2014,13,33,2014-03-24 through 2014-03-30,25,2,0,2,0,0,2,92
2014,14,33,2014-03-31 through 2014-04-06,36,7,0,7,0,2,0,93
2014,15,33,2014-04-07 through 2014-04-13,24,6,0,10,0,1,1,94
2014,16,33,2014-04-14 through 2014-04-20,25,4,0,4,0,1,3,95
2014,17,33,2014-04-21 through 2014-04-27,16,2,0,2,0,0,1,96
2014,18,33,2014-04-28 through 2014-05-04,26,5,0,7,0,0,1,97
2014,19,33,2014-05-05 through 2014-05-11,27,3,0,7,0,0,0,98
2014,20,33,2014-05-12 through 2014-05-18,20,0,0,0,0,0,0,99
2014,21,33,2014-05-19 through 2014-05-25,20,1,0,1,0,0,0,100
2014,22,33,2014-05-26 through 2014-06-01,19,3,0,4,0,1,1,101
2014,23,33,2014-06-02 through 2014-06-08,23,4,0,5,0,1,0,102
2014,24,33,2014-06-09 through 2014-06-15,19,5,0,5,0,0,2,103
2014,25,33,2014-06-16 through 2014-06-22,20,1,0,1,0,0,0,104
2014,26,33,2014-06-23 through 2014-06-29,34,8,0,9,0,1,1,105
2014,27,33,2014-06-30 through 2014-07-06,18,3,0,6,0,0,1,106
2014,28,33,2014-07-07 through 2014-07-13,23,5,0,5,0,0,1,107
2014,29,33,2014-07-14 through 2014-07-20,20,6,0,10,0,0,0,108
2014,30,33,2014-07-21 through 2014-07-27,26,3,0,3,0,2,0,109
2014,31,33,2014-07-28 through 2014-08-03,29,5,0,7,0,1,2,110
2014,32,33,2014-08-04 through 2014-08-10,23,2,0,2,0,1,0,111
2014,33,33,2014-08-11 through 2014-08-17,22,1,0,1,0,0,1,112
2014,34,33,2014-08-18 through 2014-08-24,25,7,0,10,0,2,2,113
2014,35,33,2014-08-25 through 2014-08-31,22,2,0,3,0,0,0,114
2014,36,33,2014-09-01 through 2014-09-07,26,2,0,3,0,1,0,115
2014,37,33,2014-09-08 through 2014-09-14,35,2,0,2,0,0,0,116
2014,38,33,2014-09-15 through 2014-09-21,21,1,0,1,0,0,0,117
2014,39,33,2014-09-22 through 2014-09-28,28,3,0,3,0,1,1,118
2014,40,33,2014-09-29 through 2014-10-05,31,5,0,5,0,2,2,119
2014,41,33,2014-10-06 through 2014-10-12,15,3,0,6,0,0,1,120
2014,42,33,2014-10-13 through 2014-10-19,22,5,0,6,0,1,1,121
2014,43,33,2014-10-20 through 2014-10-26,26,3,0,3,0,1,0,122
2014,44,33,2014-10-27 through 2014-11-02,33,6,0,10,0,0,4,123
2014,45,33,2014-11-03 through 2014-11-09,25,3,0,3,0,1,2,124
2014,46,33,2014-11-10 through 2014-11-16,24,2,0,2,0,0,2,125
2014,47,33,2014-11-17 through 2014-11-23,32,5,0,7,0,0,2,126
2014,48,33,2014-11-24 through 2014-11-30,31,6,0,9,0,0,3,127
2014,49,33,2014-12-01 through 2014-12-07,24,1,0,1,0,0,1,128
2014,50,33,2014-12-08 through 2014-12-14,16,5,0,5,0,0,4,129
2014,51,33,2014-12-15 through 2014-12-21,19,3,0,4,0,1,1,130
2014,52,33,2014-12-22 through 2014-12-28,20,3,0,3,0,1,0,131
2015,1,33,2014-12-29 through 2015-01-04,15,3,0,3,0,0,0,132
2015,2,33,2015-01-05 through 2015-01-11,20,2,0,2,0,0,1,133
2015,3,33,2015-01-12 through 2015-01-18,26,1,0,2,0,0,2,134
2015,4,33,2015-01-19 through 2015-01-25,22,3,0,3,0,0,2,135
2015,5,33,2015-01-26 through 2015-02-01,12,0,0,0,0,0,0,136
2015,6,33,2015-02-02 through 2015-02-08,27,4,0,4,0,1,2,137
2015,7,33,2015-02-09 through 2015-02-15,22,4,0,4,0,0,1,138
2015,8,33,2015-02-16 through 2015-02-22,29,4,0,4,0,0,0,139
2015,9,33,2015-02-23 through 2015-03-01,21,1,0,1,0,0,0,140
2015,10,33,2015-03-02 through 2015-03-08,24,3,0,4,0,0,1,141
2015,11,33,2015-03-09 through 2015-03-15,22,2,0,3,0,0,0,142
2015,12,33,2015-03-16 through 2015-03-22,21,3,0,4,0,0,2,143
2015,13,33,2015-03-23 through 2015-03-29,17,2,0,2,0,0,1,144
