row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
51,41,1,2012,6,2,0,2,0,0,1,2012-12-31 through 2013-01-06
120,41,26,2012,2,0,0,0,0,0,0,2012-06-25 through 2012-07-01
194,41,27,2012,27,8,0,9,0,1,4,2012-07-02 through 2012-07-08
273,41,28,2012,30,7,0,9,0,0,3,2012-07-09 through 2012-07-15
350,41,29,2012,26,8,0,11,0,0,0,2012-07-16 through 2012-07-22
431,41,30,2012,30,4,0,6,0,0,0,2012-07-23 through 2012-07-29
508,41,31,2012,38,9,0,11,0,0,4,2012-07-30 through 2012-08-05
583,41,32,2012,28,5,1,6,1,2,0,2012-08-06 through 2012-08-12
660,41,33,2012,17,6,0,6,0,1,1,2012-08-13 through 2012-08-19
737,41,34,2012,27,5,1,14,1,0,1,2012-08-20 through 2012-08-26
814,41,35,2012,19,5,0,9,0,1,3,2012-08-27 through 2012-09-02
891,41,36,2012,20,3,0,7,0,1,0,2012-09-03 through 2012-09-09
968,41,37,2012,25,8,0,12,0,2,3,2012-09-10 through 2012-09-16
1045,41,38,2012,25,2,0,2,0,0,1,2012-09-17 through 2012-09-23
1122,41,39,2012,26,6,0,8,0,0,2,2012-09-24 through 2012-09-30
1197,41,40,2012,26,5,0,5,0,0,2,2012-10-01 through 2012-10-07
1276,41,41,2012,28,9,0,13,0,1,1,2012-10-08 through 2012-10-14
1353,41,42,2012,21,3,0,4,0,0,1,2012-10-15 through 2012-10-21
1432,41,43,2012,17,2,0,2,0,0,0,2012-10-22 through 2012-10-28
1509,41,44,2012,16,1,0,4,0,0,0,2012-10-29 through 2012-11-04
1586,41,45,2012,26,4,0,4,0,0,0,2012-11-05 through 2012-11-11
1663,41,46,2012,23,6,0,7,0,0,1,2012-11-12 through 2012-11-18
1740,41,47,2012,25,4,0,7,0,1,1,2012-11-19 through 2012-11-25
1817,41,48,2012,25,7,0,7,0,1,4,2012-11-26 through 2012-12-02
1894,41,49,2012,31,7,0,9,0,0,2,2012-12-03 through 2012-12-09
1975,41,50,2012,25,10,0,15,0,2,2,2012-12-10 through 2012-12-16
2052,41,51,2012,32,10,0,11,0,0,3,2012-12-17 through 2012-12-23
2129,41,52,2012,29,10,0,11,0,0,6,2012-12-24 through 2012-12-30
2246,41,1,2013,19,2,0,3,0,0,2,2012-12-31 through 2013-01-06
2248,41,1,2013,3,1,0,1,0,0,1,2013-12-30 through 2014-01-05
2354,41,10,2013,39,5,0,5,0,0,2,2013-03-04 through 2013-03-10
2433,41,11,2013,19,5,0,6,0,0,1,2013-03-11 through 2013-03-17
2508,41,12,2013,20,6,0,6,0,0,4,2013-03-18 through 2013-03-24
2587,41,13,2013,21,3,0,3,0,1,1,2013-03-25 through 2013-03-31
2666,41,14,2013,24,6,0,11,0,1,1,2013-04-01 through 2013-04-07
2741,41,15,2013,27,5,0,6,0,0,3,2013-04-08 through 2013-04-14
