row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
47,121,1,2012,9,3,0,4,0,0,1,2012-12-31 through 2013-01-06
118,121,26,2012,10,2,0,4,0,0,0,2012-06-25 through 2012-07-01
192,121,27,2012,49,6,0,11,0,0,0,2012-07-02 through 2012-07-08
271,121,28,2012,50,12,0,14,0,0,3,2012-07-09 through 2012-07-15
348,121,29,2012,52,7,0,8,0,1,1,2012-07-16 through 2012-07-22
429,121,30,2012,69,13,0,18,0,2,3,2012-07-23 through 2012-07-29
504,121,31,2012,55,9,1,10,1,0,2,2012-07-30 through 2012-08-05
581,121,32,2012,60,13,0,23,0,0,4,2012-08-06 through 2012-08-12
658,121,33,2012,68,9,0,11,0,1,1,2012-08-13 through 2012-08-19
735,121,34,2012,58,13,0,17,0,1,3,2012-08-20 through 2012-08-26
812,121,35,2012,79,13,0,18,0,1,1,2012-08-27 through 2012-09-02
889,121,36,2012,65,11,0,16,0,1,1,2012-09-03 through 2012-09-09
966,121,37,2012,64,9,0,12,0,0,1,2012-09-10 through 2012-09-16
1043,121,38,2012,76,12,0,24,0,0,1,2012-09-17 through 2012-09-23
1120,121,39,2012,70,19,0,30,0,0,4,2012-09-24 through 2012-09-30
1195,121,40,2012,73,8,1,13,1,0,3,2012-10-01 through 2012-10-07
1274,121,41,2012,71,11,0,15,0,0,3,2012-10-08 through 2012-10-14
1351,121,42,2012,90,14,1,28,1,0,4,2012-10-15 through 2012-10-21
1430,121,43,2012,56,16,0,22,0,0,3,2012-10-22 through 2012-10-28
1507,121,44,2012,28,5,0,8,0,0,5,2012-10-29 through 2012-11-04
1584,121,45,2012,64,14,1,14,1,0,6,2012-11-05 through 2012-11-11
1661,121,46,2012,74,13,0,20,0,1,2,2012-11-12 through 2012-11-18
1738,121,47,2012,53,15,0,23,0,0,5,2012-11-19 through 2012-11-25
1815,121,48,2012,72,9,0,9,0,0,3,2012-11-26 through 2012-12-02
1892,121,49,2012,67,13,0,26,0,0,1,2012-12-03 through 2012-12-09
1973,121,50,2012,86,14,0,16,0,0,7,2012-12-10 through 2012-12-16
2050,121,51,2012,78,17,2,20,2,0,4,2012-12-17 through 2012-12-23
2127,121,52,2012,51,11,1,17,1,0,1,2012-12-24 through 2012-12-30
2238,121,1,2013,44,6,0,7,0,0,1,2012-12-31 through 2013-01-06
2244,121,1,2013,2,0,0,0,0,0,0,2013-12-30 through 2014-01-05
2352,121,10,2013,68,16,0,19,0,0,5,2013-03-04 through 2013-03-10
2431,121,11,2013,54,10,0,17,0,0,2,2013-03-11 through 2013-03-17
2506,121,12,2013,65,16,0,23,0,0,1,2013-03-18 through 2013-03-24
2585,121,13,2013,41,3,0,7,0,0,0,2013-03-25 through 2013-03-31
2664,121,14,2013,48,10,0,17,0,0,1,2013-04-01 through 2013-04-07
2737,121,15,2013,65,12,0,24,0,0,2,2013-04-08 through 2013-04-14
2814,121,16,2013,51,9,0,13,0,0,3,2013-04-15 through 2013-04-21
2891,121,17,2013,66,12,0,17,0,1,1,2013-04-22 through 2013-04-28
2968,121,18,2013,79,15,0,24,0,1,3,2013-04-29 through 2013-05-05
3045,121,19,2013,78,16,0,22,0,0,2,2013-05-06 through 2013-05-12
3124,121,2,2013,43,7,0,11,0,0,1,2013-01-07 through 2013-01-13
3201,121,20,2013,74,10,0,13,0,0,2,2013-05-13 through 2013-05-19
3278,121,21,2013,83,9,0,15,0,0,3,2013-05-20 through 2013-05-26
3355,121,22,2013,88,15,0,20,0,0,2,2013-05-27 through 2013-06-02
3436,121,23,2013,67,11,0,17,0,0,2,2013-06-03 through 2013-06-09
3513,121,24,2013,64,12,0,16,0,0,2,2013-06-10 through 2013-06-16
3590,121,25,2013,96,18,0,27,0,0,1,2013-06-17 through 2013-06-23
3665,121,26,2013,62,9,0,11,0,0,3,2013-06-24 through 2013-06-30
3744,121,27,2013,8,1,0,3,0,0,0,2013-07-01 through 2013-07-07
3823,121,28,2013,18,2,0,2,0,0,0,2013-07-08 through 2013-07-14
3896,121,29,2013,12,1,0,1,0,0,0,2013-07-15 through 2013-07-21
3973,121,3,2013,59,9,0,10,0,0,4,2013-01-14 through 2013-01-20
4056,121,30,2013,9,2,0,2,0,0,0,2013-07-22 through 2013-07-28
4127,121,31,2013,9,0,0,0,0,0,0,2013-07-29 through 2013-08-04
4209,121,32,2013,10,2,1,2,1,0,0,2013-08-05 through 2013-08-11
4286,121,33,2013,10,0,0,0,0,0,0,2013-08-12 through 2013-08-18
4362,121,34,2013,12,1,0,1,0,0,0,2013-08-19 through 2013-08-25
4419,121,35,2013,13,3,0,7,0,0,0,2013-08-26 through 2013-09-01
4517,121,36,2013,9,1,0,1,0,0,0,2013-09-02 through 2013-09-08
4591,121,37,2013,12,2,0,6,0,0,0,2013-09-09 through 2013-09-15
4668,121,38,2013,8,2,0,4,0,0,0,2013-09-16 through 2013-09-22
4711,121,39,2013,14,2,0,4,0,0,0,2013-09-23 through 2013-09-29
4821,121,4,2013,51,6,0,7,0,0,1,2013-01-21 through 2013-01-27
4896,121,40,2013,10,4,0,5,0,0,0,2013-09-30 through 2013-10-06
4980,121,41,2013,19,3,0,4,0,0,0,2013-10-07 through 2013-10-13
5056,121,42,2013,8,1,0,1,0,0,0,2013-10-14 through 2013-10-20
5131,121,43,2013,10,4,0,4,0,0,0,2013-10-21 through 2013-10-27
5220,121,44,2013,13,1,0,1,0,0,1,2013-10-28 through 2013-11-03
5284,121,45,2013,16,2,0,3,0,0,0,2013-11-04 through 2013-11-10
5361,121,46,2013,12,1,0,1,0,0,0,2013-11-11 through 2013-11-17
5431,121,47,2013,14,2,0,2,0,0,0,2013-11-18 through 2013-11-24
5503,121,48,2013,17,1,0,1,0,0,0,2013-11-25 through 2013-12-01
5546,121,49,2013,7,2,0,2,0,0,0,2013-12-02 through 2013-12-08
5689,121,5,2013,60,7,0,11,0,0,3,2013-01-28 through 2013-02-03
5748,121,50,2013,10,3,0,5,0,0,0,2013-12-09 through 2013-12-15
5816,121,51,2013,9,1,0,1,0,0,0,2013-12-16 through 2013-12-22
5900,121,52,2013,10,2,0,4,0,0,0,2013-12-23 through 2013-12-29
5979,121,6,2013,58,5,0,21,0,0,2,2013-02-04 through 2013-02-10
6052,121,7,2013,63,10,0,17,0,0,1,2013-02-11 through 2013-02-17
6129,121,8,2013,68,5,0,6,0,0,1,2013-02-18 through 2013-02-24
6206,121,9,2013,55,7,0,16,0,0,0,2013-02-25 through 2013-03-03
6330,121,1,2014,13,1,0,2,0,0,0,2013-12-30 through 2014-01-05
6331,121,1,2014,4,2,0,3,0,0,0,2014-12-29 through 2015-01-04
6442,121,10,2014,10,4,0,4,0,0,0,2014-03-03 through 2014-03-09
6514,121,11,2014,15,1,0,1,0,0,0,2014-03-10 through 2014-03-16
6583,121,12,2014,10,2,0,2,0,0,0,2014-03-17 through 2014-03-23
6669,121,13,2014,8,4,0,10,0,0,0,2014-03-24 through 2014-03-30
6719,121,14,2014,19,2,0,2,0,0,0,2014-03-31 through 2014-04-06
6816,121,15,2014,10,1,0,1,0,0,0,2014-04-07 through 2014-04-13
6907,121,16,2014,14,1,0,1,0,0,0,2014-04-14 through 2014-04-20
6975,121,17,2014,6,2,0,2,0,0,0,2014-04-21 through 2014-04-27
7073,121,18,2014,13,2,0,3,0,0,0,2014-04-28 through 2014-05-04
7121,121,19,2014,13,3,0,3,0,0,0,2014-05-05 through 2014-05-11
7219,121,2,2014,7,2,0,2,0,0,0,2014-01-06 through 2014-01-12
7266,121,20,2014,12,1,0,2,0,0,0,2014-05-12 through 2014-05-18
7352,121,21,2014,10,4,0,6,0,0,0,2014-05-19 through 2014-05-25
7434,121,22,2014,16,4,0,4,0,0,0,2014-05-26 through 2014-06-01
7535,121,23,2014,8,1,0,1,0,0,0,2014-06-02 through 2014-06-08
7608,121,24,2014,11,1,0,2,0,0,0,2014-06-09 through 2014-06-15
7668,121,25,2014,10,2,0,4,0,0,0,2014-06-16 through 2014-06-22
7744,121,26,2014,19,3,0,3,0,0,0,2014-06-23 through 2014-06-29
7836,121,27,2014,7,0,0,0,0,0,0,2014-06-30 through 2014-07-06
7895,121,28,2014,8,0,0,0,0,0,0,2014-07-07 through 2014-07-13
7950,121,29,2014,16,2,0,7,0,0,0,2014-07-14 through 2014-07-20
8024,121,3,2014,23,1,0,1,0,0,0,2014-01-13 through 2014-01-19
8150,121,30,2014,11,2,0,2,0,0,0,2014-07-21 through 2014-07-27
8207,121,31,2014,10,2,0,2,0,0,0,2014-07-28 through 2014-08-03
