row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
16,44,1,2012,9,2,0,2,0,0,1,2012-12-31 through 2013-01-06
95,44,26,2012,7,2,0,2,0,0,0,2012-06-25 through 2012-07-01
181,44,27,2012,50,12,0,16,0,0,9,2012-07-02 through 2012-07-08
258,44,28,2012,35,9,1,14,1,0,3,2012-07-09 through 2012-07-15
339,44,29,2012,35,11,0,14,0,1,2,2012-07-16 through 2012-07-22
410,44,30,2012,33,7,0,9,0,0,2,2012-07-23 through 2012-07-29
513,44,31,2012,38,14,0,19,0,1,7,2012-07-30 through 2012-08-05
594,44,32,2012,21,2,0,2,0,1,0,2012-08-06 through 2012-08-12
671,44,33,2012,39,9,0,13,0,1,3,2012-08-13 through 2012-08-19
752,44,34,2012,31,7,0,11,0,1,0,2012-08-20 through 2012-08-26
773,44,35,2012,36,8,0,8,0,1,4,2012-08-27 through 2012-09-02
866,44,36,2012,29,5,0,10,0,0,3,2012-09-03 through 2012-09-09
977,44,37,2012,35,7,0,9,0,0,6,2012-09-10 through 2012-09-16
1010,44,38,2012,28,11,0,17,0,1,8,2012-09-17 through 2012-09-23
1077,44,39,2012,34,11,1,12,1,0,7,2012-09-24 through 2012-09-30
1166,44,40,2012,38,4,0,7,0,0,0,2012-10-01 through 2012-10-07
1291,44,41,2012,41,15,0,20,0,1,7,2012-10-08 through 2012-10-14
1362,44,42,2012,40,11,0,11,0,1,6,2012-10-15 through 2012-10-21
1411,44,43,2012,36,8,1,15,1,1,3,2012-10-22 through 2012-10-28
1508,44,44,2012,18,3,0,3,0,0,3,2012-10-29 through 2012-11-04
1585,44,45,2012,30,9,0,12,0,0,5,2012-11-05 through 2012-11-11
1674,44,46,2012,29,6,0,7,0,0,3,2012-11-12 through 2012-11-18
1695,44,47,2012,25,5,0,6,0,0,4,2012-11-19 through 2012-11-25
1816,44,48,2012,34,8,0,8,0,0,3,2012-11-26 through 2012-12-02
1853,44,49,2012,29,7,0,8,0,0,3,2012-12-03 through 2012-12-09
1938,44,50,2012,34,8,0,15,0,0,8,2012-12-10 through 2012-12-16
2003,44,51,2012,39,11,0,13,0,1,5,2012-12-17 through 2012-12-23
2076,44,52,2012,23,3,0,3,0,0,1,2012-12-24 through 2012-12-30
2199,44,1,2013,6,0,0,0,0,0,0,2013-12-30 through 2014-01-05
2201,44,1,2013,20,3,0,3,0,0,2,2012-12-31 through 2013-01-06
2338,44,10,2013,44,10,0,17,0,1,4,2013-03-04 through 2013-03-10
2411,44,11,2013,44,8,0,11,0,0,1,2013-03-11 through 2013-03-17
2486,44,12,2013,41,8,0,10,0,0,5,2013-03-18 through 2013-03-24
2563,44,13,2013,26,3,0,3,0,0,0,2013-03-25 through 2013-03-31
2640,44,14,2013,33,9,0,9,0,1,2,2013-04-01 through 2013-04-07
2755,44,15,2013,34,7,0,9,0,1,2,2013-04-08 through 2013-04-14
2824,44,16,2013,34,9,0,12,0,1,4,2013-04-15 through 2013-04-21
2912,44,17,2013,39,11,0,14,0,1,3,2013-04-22 through 2013-04-28
2988,44,18,2013,38,14,0,22,0,0,4,2013-04-29 through 2013-05-05
3073,44,19,2013,32,5,0,5,0,0,3,2013-05-06 through 2013-05-12
3143,44,2,2013,21,6,0,7,0,1,1,2013-01-07 through 2013-01-13
3163,44,20,2013,25,8,1,10,1,1,6,2013-05-13 through 2013-05-19
3230,44,21,2013,30,9,0,9,0,1,5,2013-05-20 through 2013-05-26
3319,44,22,2013,36,10,0,12,0,1,4,2013-05-27 through 2013-06-02
3404,44,23,2013,34,4,0,5,0,0,2,2013-06-03 through 2013-06-09
3503,44,24,2013,30,7,0,8,0,1,3,2013-06-10 through 2013-06-16
3578,44,25,2013,39,14,0,18,0,1,3,2013-06-17 through 2013-06-23
3617,44,26,2013,38,12,0,17,0,3,5,2013-06-24 through 2013-06-30
3734,44,27,2013,38,11,0,18,0,2,4,2013-07-01 through 2013-07-07
3797,44,28,2013,31,11,0,17,0,2,3,2013-07-08 through 2013-07-14
3900,44,29,2013,30,13,0,22,0,1,5,2013-07-15 through 2013-07-21
3978,44,3,2013,26,6,0,6,0,0,5,2013-01-14 through 2013-01-20
4006,44,30,2013,39,6,0,9,0,1,2,2013-07-22 through 2013-07-28
4141,44,31,2013,33,16,0,21,0,1,7,2013-07-29 through 2013-08-04
4222,44,32,2013,36,8,0,9,0,2,4,2013-08-05 through 2013-08-11
4304,44,33,2013,42,9,0,10,0,0,3,2013-08-12 through 2013-08-18
4377,44,34,2013,35,12,0,14,0,2,5,2013-08-19 through 2013-08-25
4399,44,35,2013,29,5,0,5,0,0,4,2013-08-26 through 2013-09-01
4480,44,36,2013,18,3,1,5,1,0,2,2013-09-02 through 2013-09-08
4561,44,37,2013,36,9,0,15,0,2,3,2013-09-09 through 2013-09-15
4640,44,38,2013,29,8,1,9,1,1,3,2013-09-16 through 2013-09-22
4715,44,39,2013,40,7,0,8,0,0,3,2013-09-23 through 2013-09-29
4806,44,4,2013,25,4,0,4,0,0,1,2013-01-21 through 2013-01-27
4883,44,40,2013,37,14,0,21,0,0,7,2013-09-30 through 2013-10-06
4982,44,41,2013,28,7,0,7,0,0,4,2013-10-07 through 2013-10-13
5055,44,42,2013,31,9,0,11,0,2,2,2013-10-14 through 2013-10-20
5084,44,43,2013,30,7,0,9,0,0,4,2013-10-21 through 2013-10-27
5211,44,44,2013,32,6,0,6,0,0,3,2013-10-28 through 2013-11-03
5298,44,45,2013,24,3,0,3,0,1,1,2013-11-04 through 2013-11-10
5375,44,46,2013,27,6,0,13,0,0,1,2013-11-11 through 2013-11-17
5459,44,47,2013,39,11,0,14,0,0,8,2013-11-18 through 2013-11-24
5467,44,48,2013,31,7,0,8,0,0,4,2013-11-25 through 2013-12-01
5550,44,49,2013,29,6,0,6,0,0,5,2013-12-02 through 2013-12-08
5643,44,5,2013,28,8,0,9,0,0,1,2013-01-28 through 2013-02-03
5734,44,50,2013,35,4,0,4,0,0,4,2013-12-09 through 2013-12-15
5807,44,51,2013,30,3,0,4,0,0,0,2013-12-16 through 2013-12-22
5889,44,52,2013,26,8,0,11,0,0,2,2013-12-23 through 2013-12-29
5970,44,6,2013,37,9,0,10,0,1,1,2013-02-04 through 2013-02-10
6042,44,7,2013,27,10,0,12,0,0,4,2013-02-11 through 2013-02-17
6132,44,8,2013,36,7,0,10,0,0,3,2013-02-18 through 2013-02-24
6208,44,9,2013,35,8,0,12,0,0,3,2013-02-25 through 2013-03-03
6305,44,1,2014,8,2,0,2,0,0,1,2014-12-29 through 2015-01-04
6319,44,1,2014,23,4,0,11,0,0,3,2013-12-30 through 2014-01-05
6401,44,10,2014,27,4,0,6,0,0,0,2014-03-03 through 2014-03-09
6508,44,11,2014,20,6,0,6,0,0,4,2014-03-10 through 2014-03-16
6588,44,12,2014,32,6,0,7,0,0,2,2014-03-17 through 2014-03-23
6672,44,13,2014,32,9,0,12,0,0,3,2014-03-24 through 2014-03-30
6735,44,14,2014,28,9,0,13,0,0,3,2014-03-31 through 2014-04-06
6826,44,15,2014,30,7,0,12,0,0,3,2014-04-07 through 2014-04-13
6918,44,16,2014,29,6,0,11,0,2,1,2014-04-14 through 2014-04-20
6991,44,17,2014,32,7,0,8,0,1,2,2014-04-21 through 2014-04-27
7074,44,18,2014,35,10,0,14,0,1,4,2014-04-28 through 2014-05-04
7149,44,19,2014,23,6,0,8,0,0,3,2014-05-05 through 2014-05-11
7208,44,2,2014,20,2,0,3,0,0,1,2014-01-06 through 2014-01-12
7250,44,20,2014,27,7,0,10,0,1,1,2014-05-12 through 2014-05-18
7337,44,21,2014,33,10,0,16,0,2,2,2014-05-19 through 2014-05-25
7415,44,22,2014,35,8,0,9,0,1,4,2014-05-26 through 2014-06-01
7475,44,23,2014,36,13,0,23,0,0,4,2014-06-02 through 2014-06-08
7574,44,24,2014,37,8,0,10,0,2,2,2014-06-09 through 2014-06-15
7647,44,25,2014,33,9,0,11,0,1,6,2014-06-16 through 2014-06-22
7735,44,26,2014,36,11,0,13,0,1,7,2014-06-23 through 2014-06-29
7812,44,27,2014,32,9,0,15,0,1,3,2014-06-30 through 2014-07-06
7896,44,28,2014,37,11,0,13,0,3,3,2014-07-07 through 2014-07-13
7973,44,29,2014,31,7,0,9,0,0,2,2014-07-14 through 2014-07-20
8048,44,3,2014,19,7,0,9,0,0,2,2014-01-13 through 2014-01-19
8138,44,30,2014,32,8,0,10,0,2,3,2014-07-21 through 2014-07-27
8210,44,31,2014,29,6,0,6,0,1,3,2014-07-28 through 2014-08-03
8303,44,32,2014,39,13,0,16,0,1,7,2014-08-04 through 2014-08-10
8387,44,33,2014,28,6,0,8,0,1,2,2014-08-11 through 2014-08-17
8441,44,34,2014,22,5,0,5,0,1,2,2014-08-18 through 2014-08-24
8478,44,35,2014,23,3,0,5,0,0,0,2014-08-25 through 2014-08-31
8562,44,36,2014,37,6,0,13,0,1,1,2014-09-01 through 2014-09-07
8649,44,37,2014,38,12,0,20,0,1,2,2014-09-08 through 2014-09-14
8723,44,38,2014,34,6,0,9,0,1,0,2014-09-15 through 2014-09-21
8803,44,39,2014,27,5,0,6,0,1,3,2014-09-22 through 2014-09-28
8881,44,4,2014,39,8,0,11,0,0,4,2014-01-20 through 2014-01-26
8965,44,40,2014,40,9,0,9,0,1,4,2014-09-29 through 2014-10-05
9046,44,41,2014,33,16,0,20,0,4,5,2014-10-06 through 2014-10-12
9120,44,42,2014,25,5,0,8,0,1,2,2014-10-13 through 2014-10-19
9208,44,43,2014,31,5,0,6,0,0,3,2014-10-20 through 2014-10-26
9290,44,44,2014,22,3,0,5,0,1,1,2014-10-27 through 2014-11-02
9374,44,45,2014,24,6,0,9,0,1,3,2014-11-03 through 2014-11-09
9460,44,46,2014,25,4,0,5,0,0,3,2014-11-10 through 2014-11-16
9534,44,47,2014,30,6,0,6,0,0,3,2014-11-17 through 2014-11-23
9559,44,48,2014,27,8,0,10,0,1,4,2014-11-24 through 2014-11-30
9624,44,49,2014,34,9,0,16,0,0,3,2014-12-01 through 2014-12-07
9729,44,5,2014,34,9,0,14,0,0,6,2014-01-27 through 2014-02-02
9808,44,50,2014,33,8,0,9,0,0,5,2014-12-08 through 2014-12-14
9876,44,51,2014,28,4,0,10,0,0,2,2014-12-15 through 2014-12-21
9959,44,52,2014,22,7,0,11,0,0,4,2014-12-22 through 2014-12-28
10043,44,6,2014,29,6,0,11,0,1,0,2014-02-03 through 2014-02-09
10122,44,7,2014,36,5,0,6,0,0,2,2014-02-10 through 2014-02-16
10200,44,8,2014,26,4,0,4,0,0,2,2014-02-17 through 2014-02-23
10275,44,9,2014,32,9,0,13,0,0,7,2014-02-24 through 2014-03-02
10335,44,1,2015,23,8,0,10,0,0,3,2014-12-29 through 2015-01-04
10427,44,10,2015,47,8,0,12,0,0,2,2015-03-02 through 2015-03-08
10501,44,11,2015,29,4,0,4,0,0,2,2015-03-09 through 2015-03-15
10584,44,12,2015,26,5,1,6,2,0,6,2015-03-16 through 2015-03-22
10667,44,13,2015,36,6,0,6,0,1,2,2015-03-23 through 2015-03-29
10699,44,14,2015,27,4,1,5,1,2,1,2015-03-30 through 2015-04-05
10829,44,15,2015,30,9,0,11,0,1,5,2015-04-06 through 2015-04-12
10910,44,16,2015,5,3,0,4,0,0,2,2015-04-13 through 2015-04-19
10939,44,2,2015,32,4,0,6,0,0,1,2015-01-05 through 2015-01-11
11046,44,3,2015,43,5,0,5,0,0,0,2015-01-12 through 2015-01-18
11107,44,4,2015,28,5,0,5,0,0,2,2015-01-19 through 2015-01-25
11181,44,5,2015,23,4,0,5,0,0,1,2015-01-26 through 2015-02-01
11264,44,6,2015,25,9,0,13,0,0,5,2015-02-02 through 2015-02-08
11349,44,7,2015,32,6,0,9,0,0,0,2015-02-09 through 2015-02-15
11426,44,8,2015,42,4,0,4,0,0,2,2015-02-16 through 2015-02-22
11486,44,9,2015,33,6,0,7,0,0,3,2015-02-23 through 2015-03-01
