year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,103,2012-06-25 through 2012-07-01,5,3,0,3,0,0,1,1
2012,27,103,2012-07-02 through 2012-07-08,35,8,0,11,0,0,0,2
2012,28,103,2012-07-09 through 2012-07-15,41,10,0,12,0,2,3,3
2012,29,103,2012-07-16 through 2012-07-22,46,15,1,25,5,1,4,4
2012,30,103,2012-07-23 through 2012-07-29,44,11,0,22,0,1,4,5
2012,31,103,2012-07-30 through 2012-08-05,53,11,0,14,0,0,4,6
2012,32,103,2012-08-06 through 2012-08-12,51,12,0,15,0,1,5,7
2012,33,103,2012-08-13 through 2012-08-19,28,7,0,14,0,0,0,8
2012,34,103,2012-08-20 through 2012-08-26,31,11,0,15,0,2,2,9
2012,35,103,2012-08-27 through 2012-09-02,37,11,0,13,0,1,3,10
2012,36,103,2012-09-03 through 2012-09-09,34,7,0,12,0,1,2,11
2012,37,103,2012-09-10 through 2012-09-16,53,11,0,21,0,0,3,12
2012,38,103,2012-09-17 through 2012-09-23,33,8,0,13,0,0,3,13
2012,39,103,2012-09-24 through 2012-09-30,52,12,1,22,1,0,4,14
2012,40,103,2012-10-01 through 2012-10-07,49,11,0,11,0,0,6,15
2012,41,103,2012-10-08 through 2012-10-14,41,11,0,18,0,0,4,16
2012,42,103,2012-10-15 through 2012-10-21,43,10,0,13,0,0,3,17
2012,43,103,2012-10-22 through 2012-10-28,41,13,0,20,0,2,2,18
2012,44,103,2012-10-29 through 2012-11-04,18,5,0,9,0,0,2,19
2012,45,103,2012-11-05 through 2012-11-11,39,7,0,7,0,0,5,20
2012,46,103,2012-11-12 through 2012-11-18,35,8,0,10,0,0,4,21
2012,47,103,2012-11-19 through 2012-11-25,38,5,0,7,0,0,2,22
2012,48,103,2012-11-26 through 2012-12-02,41,13,0,15,0,0,8,23
2012,49,103,2012-12-03 through 2012-12-09,53,17,0,27,0,2,4,24
2012,50,103,2012-12-10 through 2012-12-16,51,17,0,22,0,2,5,25
2012,51,103,2012-12-17 through 2012-12-23,51,14,0,15,0,0,8,26
2012,52,103,2012-12-24 through 2012-12-30,48,15,0,22,0,0,7,27
2013,1,103,2012-12-31 through 2013-01-06,28,7,0,7,0,0,3,28
2013,2,103,2013-01-07 through 2013-01-13,35,12,0,14,0,1,8,29
2013,3,103,2013-01-14 through 2013-01-20,43,8,0,9,0,0,5,30
2013,4,103,2013-01-21 through 2013-01-27,48,13,0,14,0,1,3,31
2013,5,103,2013-01-28 through 2013-02-03,39,11,0,13,0,0,4,32
2013,6,103,2013-02-04 through 2013-02-10,50,8,0,10,0,0,3,33
2013,7,103,2013-02-11 through 2013-02-17,61,14,0,17,0,0,5,34
2013,8,103,2013-02-18 through 2013-02-24,30,4,0,5,0,0,1,35
2013,9,103,2013-02-25 through 2013-03-03,32,5,0,8,0,0,1,36
2013,10,103,2013-03-04 through 2013-03-10,42,15,0,24,0,0,6,37
2013,11,103,2013-03-11 through 2013-03-17,34,7,0,8,0,0,3,38
2013,12,103,2013-03-18 through 2013-03-24,41,11,0,12,0,0,7,39
2013,13,103,2013-03-25 through 2013-03-31,42,10,0,14,0,1,4,40
2013,14,103,2013-04-01 through 2013-04-07,39,5,0,8,0,0,2,41
2013,15,103,2013-04-08 through 2013-04-14,39,9,0,13,0,1,3,42
2013,16,103,2013-04-15 through 2013-04-21,39,13,0,19,0,0,4,43
2013,17,103,2013-04-22 through 2013-04-28,31,5,0,7,0,0,1,44
2013,18,103,2013-04-29 through 2013-05-05,53,8,1,9,1,0,3,45
2013,19,103,2013-05-06 through 2013-05-12,45,13,0,16,0,0,5,46
2013,20,103,2013-05-13 through 2013-05-19,51,11,0,25,0,0,2,47
2013,21,103,2013-05-20 through 2013-05-26,48,14,0,15,0,1,6,48
2013,22,103,2013-05-27 through 2013-06-02,49,10,0,19,0,0,2,49
2013,23,103,2013-06-03 through 2013-06-09,55,10,0,18,0,0,3,50
2013,24,103,2013-06-10 through 2013-06-16,50,14,0,19,0,0,5,51
2013,25,103,2013-06-17 through 2013-06-23,40,13,0,16,0,2,2,52
2013,26,103,2013-06-24 through 2013-06-30,46,7,0,8,0,0,3,53
2013,27,103,2013-07-01 through 2013-07-07,33,9,0,14,0,0,2,54
2013,28,103,2013-07-08 through 2013-07-14,35,10,0,11,0,2,2,55
2013,29,103,2013-07-15 through 2013-07-21,53,12,0,20,0,1,4,56
2013,30,103,2013-07-22 through 2013-07-28,58,15,0,23,0,1,7,57
2013,31,103,2013-07-29 through 2013-08-04,40,10,0,13,0,0,6,58
2013,32,103,2013-08-05 through 2013-08-11,48,9,0,21,0,1,1,59
2013,33,103,2013-08-12 through 2013-08-18,39,12,0,16,0,0,3,60
2013,34,103,2013-08-19 through 2013-08-25,42,7,0,8,0,2,1,61
2013,35,103,2013-08-26 through 2013-09-01,40,10,0,10,0,0,6,62
2013,36,103,2013-09-02 through 2013-09-08,42,16,0,29,0,0,5,63
2013,37,103,2013-09-09 through 2013-09-15,43,10,0,11,0,0,6,64
2013,38,103,2013-09-16 through 2013-09-22,52,13,0,16,0,1,4,65
2013,39,103,2013-09-23 through 2013-09-29,51,11,1,16,1,0,3,66
2013,40,103,2013-09-30 through 2013-10-06,44,6,0,6,0,1,2,67
2013,41,103,2013-10-07 through 2013-10-13,51,11,0,13,0,2,3,68
2013,42,103,2013-10-14 through 2013-10-20,29,3,0,3,0,0,0,69
2013,43,103,2013-10-21 through 2013-10-27,57,13,0,17,0,1,5,70
2013,44,103,2013-10-28 through 2013-11-03,59,19,1,28,1,3,8,71
2013,45,103,2013-11-04 through 2013-11-10,58,13,0,15,0,0,8,72
2013,46,103,2013-11-11 through 2013-11-17,61,13,0,18,0,1,6,73
2013,47,103,2013-11-18 through 2013-11-24,69,15,0,21,0,2,5,74
2013,48,103,2013-11-25 through 2013-12-01,51,6,0,7,0,0,3,75
2013,49,103,2013-12-02 through 2013-12-08,56,13,0,19,0,1,9,76
2013,50,103,2013-12-09 through 2013-12-15,45,5,0,5,0,0,3,77
2013,51,103,2013-12-16 through 2013-12-22,66,16,0,26,0,1,5,78
2013,52,103,2013-12-23 through 2013-12-29,45,5,0,8,0,0,1,79
2014,1,103,2013-12-30 through 2014-01-05,60,13,0,21,0,0,3,80
2014,2,103,2014-01-06 through 2014-01-12,36,5,0,6,0,0,2,81
2014,3,103,2014-01-13 through 2014-01-19,49,11,0,14,0,1,5,82
2014,4,103,2014-01-20 through 2014-01-26,64,6,0,10,0,0,2,83
2014,5,103,2014-01-27 through 2014-02-02,49,10,0,12,0,0,2,84
2014,6,103,2014-02-03 through 2014-02-09,52,8,0,9,0,0,4,85
2014,7,103,2014-02-10 through 2014-02-16,51,9,0,10,0,0,3,86
2014,8,103,2014-02-17 through 2014-02-23,50,13,1,15,1,1,4,87
2014,9,103,2014-02-24 through 2014-03-02,43,8,0,14,0,0,2,88
2014,10,103,2014-03-03 through 2014-03-09,46,9,0,16,0,2,1,89
2014,11,103,2014-03-10 through 2014-03-16,45,7,0,7,0,0,5,90
2014,12,103,2014-03-17 through 2014-03-23,39,8,0,8,0,0,6,91
2014,13,103,2014-03-24 through 2014-03-30,49,14,0,18,0,0,5,92
2014,14,103,2014-03-31 through 2014-04-06,51,8,0,8,0,1,3,93
2014,15,103,2014-04-07 through 2014-04-13,59,11,0,19,0,0,5,94
2014,16,103,2014-04-14 through 2014-04-20,58,9,0,12,0,0,3,95
2014,17,103,2014-04-21 through 2014-04-27,49,5,0,6,0,1,4,96
2014,18,103,2014-04-28 through 2014-05-04,56,12,0,18,0,2,4,97
2014,19,103,2014-05-05 through 2014-05-11,48,6,0,7,0,1,2,98
2014,20,103,2014-05-12 through 2014-05-18,54,9,0,14,0,0,2,99
2014,21,103,2014-05-19 through 2014-05-25,56,13,0,23,0,2,1,100
2014,22,103,2014-05-26 through 2014-06-01,61,9,0,17,0,0,5,101
2014,23,103,2014-06-02 through 2014-06-08,47,9,0,11,0,1,1,102
2014,24,103,2014-06-09 through 2014-06-15,53,10,0,10,0,0,2,103
2014,25,103,2014-06-16 through 2014-06-22,57,7,0,8,0,0,4,104
2014,26,103,2014-06-23 through 2014-06-29,49,7,0,8,0,0,2,105
2014,27,103,2014-06-30 through 2014-07-06,41,11,0,14,0,1,5,106
2014,28,103,2014-07-07 through 2014-07-13,56,14,0,24,0,0,3,107
2014,29,103,2014-07-14 through 2014-07-20,45,9,0,16,0,0,4,108
2014,30,103,2014-07-21 through 2014-07-27,49,10,0,11,0,3,2,109
2014,31,103,2014-07-28 through 2014-08-03,59,11,0,14,0,3,0,110
2014,32,103,2014-08-04 through 2014-08-10,46,9,0,15,0,0,1,111
2014,33,103,2014-08-11 through 2014-08-17,54,9,0,12,0,1,2,112
2014,34,103,2014-08-18 through 2014-08-24,54,6,0,13,0,0,3,113
2014,35,103,2014-08-25 through 2014-08-31,43,7,1,12,1,0,2,114
2014,36,103,2014-09-01 through 2014-09-07,54,11,0,12,0,1,2,115
2014,37,103,2014-09-08 through 2014-09-14,74,16,0,19,0,1,4,116
2014,38,103,2014-09-15 through 2014-09-21,45,12,0,17,0,2,2,117
2014,39,103,2014-09-22 through 2014-09-28,64,14,0,14,0,2,5,118
2014,40,103,2014-09-29 through 2014-10-05,59,10,0,17,0,0,4,119
2014,41,103,2014-10-06 through 2014-10-12,59,11,0,13,0,0,5,120
2014,42,103,2014-10-13 through 2014-10-19,49,9,0,14,0,1,2,121
2014,43,103,2014-10-20 through 2014-10-26,47,7,0,10,0,0,1,122
2014,44,103,2014-10-27 through 2014-11-02,46,15,0,20,0,2,3,123
2014,45,103,2014-11-03 through 2014-11-09,63,13,0,18,0,0,6,124
2014,46,103,2014-11-10 through 2014-11-16,50,8,0,18,0,0,3,125
2014,47,103,2014-11-17 through 2014-11-23,50,12,0,15,0,0,6,126
2014,48,103,2014-11-24 through 2014-11-30,45,9,0,10,0,2,4,127
2014,49,103,2014-12-01 through 2014-12-07,47,6,0,6,0,0,6,128
2014,50,103,2014-12-08 through 2014-12-14,47,6,0,10,0,0,3,129
