DATE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
2014-12-09,154,1,64,1,3,0,87,0
2014-12-08,114,0,24,0,6,0,84,0
2014-12-07,135,1,25,1,7,0,103,0
2014-12-06,165,0,68,0,7,0,90,0
2014-12-05,182,1,79,1,8,0,95,0
2014-12-04,161,0,35,0,4,0,122,0
2014-12-03,128,1,41,1,5,0,82,0
2014-12-02,135,1,51,1,7,0,77,0
2014-12-01,144,0,47,0,7,0,90,0
2014-11-30,81,1,10,0,6,0,65,1
2014-11-29,93,1,15,0,4,0,74,1
2014-11-28,117,0,39,0,5,0,73,0
2014-11-27,127,0,16,0,7,0,104,0
2014-11-26,185,0,86,0,12,0,87,0
2014-11-25,125,1,26,0,14,1,85,0
2014-11-24,155,3,41,1,7,1,107,1
2014-11-23,129,0,18,0,6,0,105,0
2014-11-22,170,0,34,0,8,0,128,0
2014-11-21,162,0,41,0,6,0,115,0
2014-11-20,113,2,34,1,9,0,70,1
2014-11-19,141,1,24,0,5,0,112,1
2014-11-18,149,0,47,0,5,0,97,0
2014-11-17,167,1,58,1,11,0,98,0
2014-11-16,114,0,19,0,5,0,90,0
2014-11-15,142,1,30,1,10,0,102,0
2014-11-14,164,0,35,0,14,0,115,0
2014-11-13,158,3,46,1,11,0,101,2
2014-11-12,161,1,24,1,15,0,122,0
2014-11-11,123,0,21,0,15,0,87,0
2014-11-10,136,0,35,0,13,0,88,0
2014-11-09,101,1,19,1,5,0,77,0
2014-11-08,132,2,36,2,9,0,87,0
2014-11-07,171,0,44,0,18,0,109,0
2014-11-06,153,1,53,0,6,0,94,1
2014-11-05,150,1,23,1,12,0,115,0
2014-11-04,127,2,33,1,13,0,81,1
2014-11-03,157,3,26,0,14,0,117,3
2014-11-02,136,0,30,0,7,0,99,0
2014-11-01,202,1,57,1,8,0,137,0
2014-10-31,142,0,33,0,14,0,95,0
2014-10-30,116,2,32,2,10,0,74,0
2014-10-29,143,2,34,2,8,0,101,0
2014-10-28,114,0,22,0,18,0,74,0
2014-10-27,184,0,45,0,7,0,132,0
2014-10-26,134,2,21,2,10,0,103,0
2014-10-25,139,0,25,0,8,0,106,0
2014-10-24,156,1,31,1,13,0,112,0
2014-10-23,151,1,36,1,11,0,104,0
2014-10-22,191,0,66,0,15,0,110,0
2014-10-21,132,0,42,0,16,0,74,0
2014-10-20,136,1,30,1,11,0,95,0
2014-10-19,160,0,24,0,16,0,120,0
2014-10-18,163,0,29,0,21,0,113,0
2014-10-17,162,3,29,1,21,0,112,2
2014-10-16,175,0,32,0,13,0,130,0
2014-10-15,143,0,32,0,10,0,101,0
2014-10-14,177,1,36,1,24,0,117,0
2014-10-13,137,0,33,0,12,0,92,0
2014-10-12,161,1,22,0,11,0,128,1
2014-10-11,181,0,22,0,9,0,150,0
2014-10-10,130,1,23,1,16,0,91,0
2014-10-09,121,0,26,0,17,0,78,0
2014-10-08,150,1,31,0,21,1,98,0
2014-10-07,183,1,30,0,18,0,135,1
2014-10-06,152,1,35,1,18,0,99,0
2014-10-05,150,0,19,0,12,0,119,0
2014-10-04,157,0,35,0,11,0,111,0
2014-10-03,230,1,47,1,18,0,165,0
2014-10-02,115,0,21,0,10,0,84,0
2014-10-01,133,1,33,1,11,0,89,0
2014-09-30,147,1,32,1,19,0,96,0
2014-09-29,123,0,28,0,19,0,76,0
2014-09-28,144,3,18,2,11,0,115,1
2014-09-27,175,0,25,0,17,0,133,0
2014-09-26,175,0,32,0,15,0,128,0
2014-09-25,108,2,18,2,7,0,83,0
2014-09-24,106,0,29,0,16,0,61,0
2014-09-23,135,2,30,0,11,0,94,2
2014-09-22,176,1,37,0,28,0,111,1
2014-09-21,166,1,15,0,15,0,136,1
2014-09-20,159,0,26,0,26,0,107,0
2014-09-19,143,0,17,0,15,0,111,0
2014-09-18,177,3,28,1,16,0,133,2
2014-09-17,158,1,45,1,21,0,92,0
2014-09-16,153,1,26,0,15,0,112,1
2014-09-15,143,0,23,0,13,0,107,0
2014-09-14,155,0,16,0,15,0,124,0
2014-09-13,165,0,30,0,17,0,118,0
2014-09-12,213,4,33,2,29,0,151,2
2014-09-11,131,0,28,0,14,0,89,0
2014-09-10,157,1,42,1,12,0,103,0
2014-09-09,135,0,19,0,16,0,100,0
2014-09-08,135,0,17,0,18,0,100,0
2014-09-07,147,3,8,3,18,0,121,0
2014-09-06,138,0,23,0,13,0,102,0
2014-09-05,134,1,27,0,17,0,90,1
2014-09-04,152,2,27,2,13,0,112,0
2014-09-03,148,1,20,0,13,1,115,0
2014-09-02,144,0,24,0,13,0,107,0
2014-09-01,121,1,13,0,16,0,92,1
2014-08-31,148,0,13,0,6,0,129,0
2014-08-30,125,2,24,1,11,0,90,1
2014-08-29,155,2,23,1,16,1,116,0
2014-08-28,149,3,33,3,18,0,98,0
2014-08-27,133,1,16,0,15,0,102,1
2014-08-26,158,0,37,0,20,0,101,0
2014-08-25,129,0,21,0,17,0,91,0
2014-08-24,134,1,13,0,14,0,107,1
2014-08-23,132,0,19,0,8,0,105,0
2014-08-22,157,0,27,0,9,0,121,0
2014-08-21,147,0,30,0,16,0,101,0
2014-08-20,123,0,19,0,14,0,90,0
2014-08-19,134,0,25,0,24,0,85,0
2014-08-18,128,2,30,1,20,1,78,0
