year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,44,2012-06-25 through 2012-07-01,7,2,0,2,0,0,0,0
2012,27,44,2012-07-02 through 2012-07-08,50,12,0,16,0,0,9,1
2012,28,44,2012-07-09 through 2012-07-15,35,9,1,14,1,0,3,2
2012,29,44,2012-07-16 through 2012-07-22,35,11,0,14,0,1,2,3
2012,30,44,2012-07-23 through 2012-07-29,33,7,0,9,0,0,2,4
2012,31,44,2012-07-30 through 2012-08-05,38,14,0,19,0,1,7,5
2012,32,44,2012-08-06 through 2012-08-12,21,2,0,2,0,1,0,6
2012,33,44,2012-08-13 through 2012-08-19,39,9,0,13,0,1,3,7
2012,34,44,2012-08-20 through 2012-08-26,31,7,0,11,0,1,0,8
2012,35,44,2012-08-27 through 2012-09-02,36,8,0,8,0,1,4,9
2012,36,44,2012-09-03 through 2012-09-09,29,5,0,10,0,0,3,10
2012,37,44,2012-09-10 through 2012-09-16,35,7,0,9,0,0,6,11
2012,38,44,2012-09-17 through 2012-09-23,28,11,0,17,0,1,8,12
2012,39,44,2012-09-24 through 2012-09-30,34,11,1,12,1,0,7,13
2012,40,44,2012-10-01 through 2012-10-07,38,4,0,7,0,0,0,14
2012,41,44,2012-10-08 through 2012-10-14,41,15,0,20,0,1,7,15
2012,42,44,2012-10-15 through 2012-10-21,40,11,0,11,0,1,6,16
2012,43,44,2012-10-22 through 2012-10-28,36,8,1,15,1,1,3,17
2012,44,44,2012-10-29 through 2012-11-04,18,3,0,3,0,0,3,18
2012,45,44,2012-11-05 through 2012-11-11,30,9,0,12,0,0,5,19
2012,46,44,2012-11-12 through 2012-11-18,29,6,0,7,0,0,3,20
2012,47,44,2012-11-19 through 2012-11-25,25,5,0,6,0,0,4,21
2012,48,44,2012-11-26 through 2012-12-02,34,8,0,8,0,0,3,22
2012,49,44,2012-12-03 through 2012-12-09,29,7,0,8,0,0,3,23
2012,50,44,2012-12-10 through 2012-12-16,34,8,0,15,0,0,8,24
2012,51,44,2012-12-17 through 2012-12-23,39,11,0,13,0,1,5,25
2012,52,44,2012-12-24 through 2012-12-30,23,3,0,3,0,0,1,26
2013,1,44,2012-12-31 through 2013-01-06,29,5,0,5,0,0,3,27
2013,2,44,2013-01-07 through 2013-01-13,21,6,0,7,0,1,1,28
2013,3,44,2013-01-14 through 2013-01-20,26,6,0,6,0,0,5,29
2013,4,44,2013-01-21 through 2013-01-27,25,4,0,4,0,0,1,30
2013,5,44,2013-01-28 through 2013-02-03,28,8,0,9,0,0,1,31
2013,6,44,2013-02-04 through 2013-02-10,37,9,0,10,0,1,1,32
2013,7,44,2013-02-11 through 2013-02-17,27,10,0,12,0,0,4,33
2013,8,44,2013-02-18 through 2013-02-24,36,7,0,10,0,0,3,34
