year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,94,2012-06-25 through 2012-07-01,3,0,0,0,0,0,0,0
2012,27,94,2012-07-02 through 2012-07-08,22,8,0,11,0,3,0,1
2012,28,94,2012-07-09 through 2012-07-15,36,7,0,15,0,1,2,2
2012,29,94,2012-07-16 through 2012-07-22,39,6,0,10,0,2,2,3
2012,30,94,2012-07-23 through 2012-07-29,42,9,0,10,0,1,3,4
2012,31,94,2012-07-30 through 2012-08-05,35,9,0,9,0,4,1,5
2012,32,94,2012-08-06 through 2012-08-12,45,11,0,12,0,5,1,6
2012,33,94,2012-08-13 through 2012-08-19,37,8,0,10,0,2,2,7
2012,34,94,2012-08-20 through 2012-08-26,33,5,0,8,0,1,1,8
2012,35,94,2012-08-27 through 2012-09-02,33,9,0,10,0,2,1,9
2012,36,94,2012-09-03 through 2012-09-09,26,5,0,5,0,2,0,10
2012,37,94,2012-09-10 through 2012-09-16,35,9,0,10,0,1,2,11
2012,38,94,2012-09-17 through 2012-09-23,35,10,0,11,0,4,2,12
2012,39,94,2012-09-24 through 2012-09-30,31,5,0,11,0,1,1,13
2012,40,94,2012-10-01 through 2012-10-07,26,6,0,10,0,2,0,14
2012,41,94,2012-10-08 through 2012-10-14,35,3,0,4,0,0,1,15
2012,42,94,2012-10-15 through 2012-10-21,31,4,0,4,0,2,1,16
2012,43,94,2012-10-22 through 2012-10-28,38,4,0,5,0,0,1,17
2012,44,94,2012-10-29 through 2012-11-04,23,0,0,0,0,0,0,18
2012,45,94,2012-11-05 through 2012-11-11,37,3,0,3,0,0,2,19
2012,46,94,2012-11-12 through 2012-11-18,35,6,0,8,0,0,3,20
2012,47,94,2012-11-19 through 2012-11-25,26,5,0,5,0,3,1,21
2012,48,94,2012-11-26 through 2012-12-02,25,1,0,3,0,0,0,22
2012,49,94,2012-12-03 through 2012-12-09,53,8,0,8,0,3,2,23
2012,50,94,2012-12-10 through 2012-12-16,36,4,0,5,0,0,0,24
2012,51,94,2012-12-17 through 2012-12-23,41,5,0,5,0,2,0,25
2012,52,94,2012-12-24 through 2012-12-30,19,3,0,3,0,0,1,26
2013,1,94,2012-12-31 through 2013-01-06,23,5,0,5,0,0,3,27
2013,2,94,2013-01-07 through 2013-01-13,39,5,0,8,0,2,0,28
