year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,90,2012-06-25 through 2012-07-01,6,4,0,8,0,2,0,1
2012,27,90,2012-07-02 through 2012-07-08,36,4,0,4,0,1,2,2
2012,28,90,2012-07-09 through 2012-07-15,49,11,0,17,0,5,2,3
2012,29,90,2012-07-16 through 2012-07-22,50,12,0,16,0,2,2,4
2012,30,90,2012-07-23 through 2012-07-29,41,11,0,13,0,0,7,5
2012,31,90,2012-07-30 through 2012-08-05,60,10,1,11,1,3,3,6
2012,32,90,2012-08-06 through 2012-08-12,49,16,0,24,0,4,2,7
2012,33,90,2012-08-13 through 2012-08-19,46,12,0,14,0,2,5,8
2012,34,90,2012-08-20 through 2012-08-26,45,14,0,16,0,5,4,9
2012,35,90,2012-08-27 through 2012-09-02,36,4,0,4,0,2,2,10
2012,36,90,2012-09-03 through 2012-09-09,34,8,0,9,0,4,1,11
2012,37,90,2012-09-10 through 2012-09-16,51,14,1,17,1,4,7,12
2012,38,90,2012-09-17 through 2012-09-23,47,14,0,18,0,2,6,13
2012,39,90,2012-09-24 through 2012-09-30,49,16,1,19,1,6,3,14
2012,40,90,2012-10-01 through 2012-10-07,40,8,1,11,1,3,6,15
2012,41,90,2012-10-08 through 2012-10-14,52,6,0,8,0,1,1,16
2012,42,90,2012-10-15 through 2012-10-21,74,13,0,19,0,1,3,17
2012,43,90,2012-10-22 through 2012-10-28,64,15,0,16,0,5,4,18
2012,44,90,2012-10-29 through 2012-11-04,40,11,0,14,0,6,2,19
2012,45,90,2012-11-05 through 2012-11-11,54,14,0,21,0,1,8,20
2012,46,90,2012-11-12 through 2012-11-18,48,12,1,13,1,2,4,21
2012,47,90,2012-11-19 through 2012-11-25,40,7,0,8,0,1,2,22
2012,48,90,2012-11-26 through 2012-12-02,40,16,0,20,0,5,7,23
2012,49,90,2012-12-03 through 2012-12-09,49,11,0,19,0,0,5,24
2012,50,90,2012-12-10 through 2012-12-16,47,15,0,23,0,4,4,25
2012,51,90,2012-12-17 through 2012-12-23,47,10,0,15,0,1,4,26
2012,52,90,2012-12-24 through 2012-12-30,32,9,0,14,0,0,4,27
2013,1,90,2012-12-31 through 2013-01-06,37,13,0,17,0,3,5,28
2013,2,90,2013-01-07 through 2013-01-13,35,13,0,16,0,2,4,29
2013,3,90,2013-01-14 through 2013-01-20,46,12,0,14,0,3,4,30
2013,4,90,2013-01-21 through 2013-01-27,52,7,0,9,0,0,3,31
2013,5,90,2013-01-28 through 2013-02-03,47,10,0,13,0,1,3,32
2013,6,90,2013-02-04 through 2013-02-10,65,10,0,12,0,0,3,33
2013,7,90,2013-02-11 through 2013-02-17,53,12,0,18,0,4,3,34
2013,8,90,2013-02-18 through 2013-02-24,53,10,0,11,0,0,4,35
2013,9,90,2013-02-25 through 2013-03-03,41,11,1,15,3,3,4,36
2013,10,90,2013-03-04 through 2013-03-10,47,14,1,16,1,3,8,37
2013,11,90,2013-03-11 through 2013-03-17,47,13,0,16,0,1,4,38
2013,12,90,2013-03-18 through 2013-03-24,50,8,0,9,0,1,3,39
2013,13,90,2013-03-25 through 2013-03-31,41,8,0,13,0,1,0,40
2013,14,90,2013-04-01 through 2013-04-07,33,8,0,9,0,2,3,41
2013,15,90,2013-04-08 through 2013-04-14,43,10,0,17,0,1,1,42
2013,16,90,2013-04-15 through 2013-04-21,53,12,0,14,0,3,2,43
2013,17,90,2013-04-22 through 2013-04-28,59,13,0,14,0,3,4,44
2013,18,90,2013-04-29 through 2013-05-05,53,16,0,22,0,2,6,45
2013,19,90,2013-05-06 through 2013-05-12,62,21,0,30,0,4,7,46
2013,20,90,2013-05-13 through 2013-05-19,55,12,0,12,0,4,0,47
2013,21,90,2013-05-20 through 2013-05-26,50,10,0,17,0,4,0,48
2013,22,90,2013-05-27 through 2013-06-02,66,15,0,15,0,5,4,49
2013,23,90,2013-06-03 through 2013-06-09,58,16,0,21,0,5,3,50
2013,24,90,2013-06-10 through 2013-06-16,50,15,1,17,1,4,6,51
2013,25,90,2013-06-17 through 2013-06-23,64,15,0,16,0,5,4,52
2013,26,90,2013-06-24 through 2013-06-30,48,8,0,18,0,3,2,53
2013,27,90,2013-07-01 through 2013-07-07,41,6,0,8,0,2,0,54
2013,28,90,2013-07-08 through 2013-07-14,53,12,0,15,0,1,4,55
2013,29,90,2013-07-15 through 2013-07-21,59,17,0,20,0,3,5,56
2013,30,90,2013-07-22 through 2013-07-28,42,10,0,16,0,0,4,57
2013,31,90,2013-07-29 through 2013-08-04,54,11,0,15,0,10,0,58
2013,32,90,2013-08-05 through 2013-08-11,47,18,1,19,1,6,4,59
2013,33,90,2013-08-12 through 2013-08-18,47,13,0,15,0,7,0,60
2013,34,90,2013-08-19 through 2013-08-25,40,10,0,13,0,5,1,61
2013,35,90,2013-08-26 through 2013-09-01,52,17,1,24,1,7,5,62
2013,36,90,2013-09-02 through 2013-09-08,50,18,0,26,0,6,4,63
2013,37,90,2013-09-09 through 2013-09-15,58,12,0,13,0,2,5,64
2013,38,90,2013-09-16 through 2013-09-22,40,12,0,17,0,2,3,65
2013,39,90,2013-09-23 through 2013-09-29,45,12,0,17,0,3,5,66
2013,40,90,2013-09-30 through 2013-10-06,50,15,0,20,0,7,5,67
2013,41,90,2013-10-07 through 2013-10-13,49,9,0,9,0,4,3,68
2013,42,90,2013-10-14 through 2013-10-20,30,8,0,9,0,3,3,69
2013,43,90,2013-10-21 through 2013-10-27,59,18,0,22,0,6,2,70
2013,44,90,2013-10-28 through 2013-11-03,60,19,0,23,0,5,5,71
2013,45,90,2013-11-04 through 2013-11-10,61,17,0,22,0,4,5,72
2013,46,90,2013-11-11 through 2013-11-17,63,21,0,24,0,4,6,73
2013,47,90,2013-11-18 through 2013-11-24,51,12,0,15,0,5,4,74
2013,48,90,2013-11-25 through 2013-12-01,51,16,0,22,0,0,10,75
2013,49,90,2013-12-02 through 2013-12-08,44,18,0,23,0,3,6,76
2013,50,90,2013-12-09 through 2013-12-15,46,10,0,16,0,2,4,77
2013,51,90,2013-12-16 through 2013-12-22,58,10,0,11,0,1,6,78
2013,52,90,2013-12-23 through 2013-12-29,23,9,0,10,0,2,3,79
2014,1,90,2013-12-30 through 2014-01-05,46,10,0,12,0,1,7,80
2014,2,90,2014-01-06 through 2014-01-12,53,16,1,20,1,1,6,81
2014,3,90,2014-01-13 through 2014-01-19,46,11,0,17,0,4,3,82
2014,4,90,2014-01-20 through 2014-01-26,57,8,0,9,0,1,3,83
2014,5,90,2014-01-27 through 2014-02-02,54,9,0,10,0,2,4,84
2014,6,90,2014-02-03 through 2014-02-09,63,8,0,8,0,2,3,85
2014,7,90,2014-02-10 through 2014-02-16,63,10,1,12,1,2,6,86
2014,8,90,2014-02-17 through 2014-02-23,50,7,0,12,0,1,2,87
2014,9,90,2014-02-24 through 2014-03-02,54,3,0,3,0,0,3,88
2014,10,90,2014-03-03 through 2014-03-09,41,8,0,9,0,0,3,89
2014,11,90,2014-03-10 through 2014-03-16,53,7,0,7,0,2,2,90
2014,12,90,2014-03-17 through 2014-03-23,31,9,0,11,0,1,4,91
2014,13,90,2014-03-24 through 2014-03-30,49,11,0,15,0,1,5,92
2014,14,90,2014-03-31 through 2014-04-06,48,2,0,4,0,0,0,93
2014,15,90,2014-04-07 through 2014-04-13,59,12,0,15,0,3,4,94
2014,16,90,2014-04-14 through 2014-04-20,31,16,0,20,0,4,3,95
2014,17,90,2014-04-21 through 2014-04-27,50,9,0,11,0,2,4,96
2014,18,90,2014-04-28 through 2014-05-04,55,8,0,10,0,1,2,97
2014,19,90,2014-05-05 through 2014-05-11,53,4,0,4,0,0,1,98
2014,20,90,2014-05-12 through 2014-05-18,55,15,0,20,0,4,3,99
2014,21,90,2014-05-19 through 2014-05-25,38,10,0,16,0,2,0,100
2014,22,90,2014-05-26 through 2014-06-01,69,18,0,19,0,5,4,101
2014,23,90,2014-06-02 through 2014-06-08,59,17,0,20,0,6,4,102
2014,24,90,2014-06-09 through 2014-06-15,58,15,1,18,1,1,5,103
2014,25,90,2014-06-16 through 2014-06-22,57,10,0,11,0,5,2,104
2014,26,90,2014-06-23 through 2014-06-29,67,14,0,14,0,8,2,105
2014,27,90,2014-06-30 through 2014-07-06,70,13,0,18,0,3,3,106
2014,28,90,2014-07-07 through 2014-07-13,64,16,0,19,0,3,5,107
2014,29,90,2014-07-14 through 2014-07-20,48,15,1,18,1,3,5,108
2014,30,90,2014-07-21 through 2014-07-27,45,13,0,13,0,6,1,109
2014,31,90,2014-07-28 through 2014-08-03,53,16,0,17,0,3,3,110
2014,32,90,2014-08-04 through 2014-08-10,35,9,0,9,0,4,1,111
2014,33,90,2014-08-11 through 2014-08-17,72,19,0,23,0,4,4,112
2014,34,90,2014-08-18 through 2014-08-24,44,11,0,15,0,4,1,113
2014,35,90,2014-08-25 through 2014-08-31,57,5,0,6,0,1,1,114
2014,36,90,2014-09-01 through 2014-09-07,47,9,1,12,1,5,1,115
2014,37,90,2014-09-08 through 2014-09-14,68,13,0,13,0,8,5,116
2014,38,90,2014-09-15 through 2014-09-21,72,16,0,22,0,6,1,117
2014,39,90,2014-09-22 through 2014-09-28,61,15,0,21,0,6,0,118
2014,40,90,2014-09-29 through 2014-10-05,62,15,0,17,0,7,3,119
2014,41,90,2014-10-06 through 2014-10-12,52,15,0,18,0,5,2,120
2014,42,90,2014-10-13 through 2014-10-19,34,10,0,11,0,5,2,121
2014,43,90,2014-10-20 through 2014-10-26,64,12,0,15,0,4,3,122
2014,44,90,2014-10-27 through 2014-11-02,71,20,0,27,0,6,4,123
2014,45,90,2014-11-03 through 2014-11-09,73,19,0,20,0,6,6,124
2014,46,90,2014-11-10 through 2014-11-16,54,15,0,16,0,5,3,125
2014,47,90,2014-11-17 through 2014-11-23,58,9,0,12,0,1,8,126
2014,48,90,2014-11-24 through 2014-11-30,44,11,0,13,0,4,3,127
2014,49,90,2014-12-01 through 2014-12-07,70,13,0,17,0,2,5,128
2014,50,90,2014-12-08 through 2014-12-14,50,14,0,19,0,3,5,129
2014,51,90,2014-12-15 through 2014-12-21,43,9,0,12,0,1,2,130
2014,52,90,2014-12-22 through 2014-12-28,41,9,0,11,0,0,6,131
2015,1,90,2014-12-29 through 2015-01-04,32,4,0,6,0,0,1,132
2015,2,90,2015-01-05 through 2015-01-11,35,5,0,5,0,0,1,133
2015,3,90,2015-01-12 through 2015-01-18,59,9,0,12,0,1,2,134
2015,4,90,2015-01-19 through 2015-01-25,45,9,0,11,0,0,5,135
2015,5,90,2015-01-26 through 2015-02-01,45,6,0,6,0,1,2,136
2015,6,90,2015-02-02 through 2015-02-08,60,11,0,12,0,2,5,137
2015,7,90,2015-02-09 through 2015-02-15,67,18,0,23,0,1,9,138
2015,8,90,2015-02-16 through 2015-02-22,50,8,0,11,0,0,3,139
2015,9,90,2015-02-23 through 2015-03-01,47,3,0,5,0,0,0,140
2015,10,90,2015-03-02 through 2015-03-08,77,5,0,6,0,0,1,141
2015,11,90,2015-03-09 through 2015-03-15,62,18,0,20,0,2,8,142
2015,12,90,2015-03-16 through 2015-03-22,61,12,0,17,0,2,2,143
2015,13,90,2015-03-23 through 2015-03-29,66,12,0,13,0,2,5,144
2015,14,90,2015-03-30 through 2015-04-05,45,5,0,5,0,1,2,145
2015,15,90,2015-04-06 through 2015-04-12,43,18,0,32,0,3,3,146
2015,16,90,2015-04-13 through 2015-04-19,17,7,0,11,0,2,4,147
