year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,109,2012-06-25 through 2012-07-01,13,3,0,5,0,0,1,0
2012,27,109,2012-07-02 through 2012-07-08,89,19,0,24,0,1,6,1
2012,28,109,2012-07-09 through 2012-07-15,82,19,0,22,0,1,4,2
2012,29,109,2012-07-16 through 2012-07-22,101,12,0,17,0,2,3,3
2012,30,109,2012-07-23 through 2012-07-29,91,17,0,27,0,1,3,4
2012,31,109,2012-07-30 through 2012-08-05,88,13,0,15,0,0,7,5
2012,32,109,2012-08-06 through 2012-08-12,108,13,0,15,0,0,5,6
2012,33,109,2012-08-13 through 2012-08-19,83,12,0,19,0,1,6,7
2012,34,109,2012-08-20 through 2012-08-26,74,13,0,19,0,0,2,8
2012,35,109,2012-08-27 through 2012-09-02,110,24,0,29,0,2,5,9
2012,36,109,2012-09-03 through 2012-09-09,99,14,0,20,0,1,3,10
2012,37,109,2012-09-10 through 2012-09-16,90,16,0,22,0,4,4,11
2012,38,109,2012-09-17 through 2012-09-23,100,20,0,25,0,2,7,12
2012,39,109,2012-09-24 through 2012-09-30,88,10,0,17,0,1,3,13
2012,40,109,2012-10-01 through 2012-10-07,87,10,0,15,0,1,2,14
2012,41,109,2012-10-08 through 2012-10-14,105,18,0,27,0,1,3,15
2012,42,109,2012-10-15 through 2012-10-21,92,15,1,20,1,0,6,16
2012,43,109,2012-10-22 through 2012-10-28,74,12,0,17,0,0,5,17
2012,44,109,2012-10-29 through 2012-11-04,72,7,1,7,1,1,3,18
2012,45,109,2012-11-05 through 2012-11-11,86,16,0,24,0,0,5,19
2012,46,109,2012-11-12 through 2012-11-18,88,17,0,18,0,2,9,20
2012,47,109,2012-11-19 through 2012-11-25,86,11,0,16,0,0,7,21
2012,48,109,2012-11-26 through 2012-12-02,84,19,0,27,0,0,7,22
2012,49,109,2012-12-03 through 2012-12-09,85,25,0,32,0,0,13,23
2012,50,109,2012-12-10 through 2012-12-16,73,12,0,15,0,0,6,24
2012,51,109,2012-12-17 through 2012-12-23,97,20,0,32,0,0,8,25
2012,52,109,2012-12-24 through 2012-12-30,75,8,1,13,1,0,5,26
2013,1,109,2012-12-31 through 2013-01-06,89,17,0,20,0,0,6,27
2013,2,109,2013-01-07 through 2013-01-13,80,18,1,26,1,0,8,28
2013,3,109,2013-01-14 through 2013-01-20,95,17,0,21,0,0,8,29
2013,4,109,2013-01-21 through 2013-01-27,85,8,0,11,0,0,2,30
2013,5,109,2013-01-28 through 2013-02-03,84,19,1,21,1,1,9,31
2013,6,109,2013-02-04 through 2013-02-10,90,16,0,17,0,0,10,32
2013,7,109,2013-02-11 through 2013-02-17,72,17,0,18,0,0,10,33
2013,8,109,2013-02-18 through 2013-02-24,68,9,0,10,0,0,5,34
2013,9,109,2013-02-25 through 2013-03-03,73,9,1,12,1,0,1,35
2013,10,109,2013-03-04 through 2013-03-10,106,13,0,20,0,0,3,36
2013,11,109,2013-03-11 through 2013-03-17,77,15,0,19,0,0,6,37
2013,12,109,2013-03-18 through 2013-03-24,87,17,0,19,0,3,7,38
2013,13,109,2013-03-25 through 2013-03-31,88,13,0,15,0,0,5,39
2013,14,109,2013-04-01 through 2013-04-07,103,13,0,14,0,2,3,40
2013,15,109,2013-04-08 through 2013-04-14,79,14,0,26,0,0,5,41
2013,16,109,2013-04-15 through 2013-04-21,77,16,0,21,0,0,7,42
2013,17,109,2013-04-22 through 2013-04-28,97,16,0,20,0,0,6,43
2013,18,109,2013-04-29 through 2013-05-05,85,19,0,22,0,0,4,44
2013,19,109,2013-05-06 through 2013-05-12,82,23,0,35,0,0,9,45
2013,20,109,2013-05-13 through 2013-05-19,101,16,0,17,0,1,5,46
2013,21,109,2013-05-20 through 2013-05-26,95,13,0,17,0,1,3,47
2013,22,109,2013-05-27 through 2013-06-02,93,11,0,15,0,1,4,48
2013,23,109,2013-06-03 through 2013-06-09,115,20,0,30,0,2,6,49
2013,24,109,2013-06-10 through 2013-06-16,92,9,1,15,1,1,3,50
2013,25,109,2013-06-17 through 2013-06-23,92,16,0,25,0,3,4,51
2013,26,109,2013-06-24 through 2013-06-30,90,18,0,26,0,5,5,52
2013,27,109,2013-07-01 through 2013-07-07,91,15,0,18,0,1,3,53
2013,28,109,2013-07-08 through 2013-07-14,100,11,0,15,0,1,4,54
2013,29,109,2013-07-15 through 2013-07-21,98,13,0,21,0,0,5,55
2013,30,109,2013-07-22 through 2013-07-28,86,16,0,18,0,1,7,56
2013,31,109,2013-07-29 through 2013-08-04,80,22,0,28,0,2,5,57
2013,32,109,2013-08-05 through 2013-08-11,71,16,0,21,0,0,4,58
2013,33,109,2013-08-12 through 2013-08-18,91,19,0,36,0,3,3,59
2013,34,109,2013-08-19 through 2013-08-25,78,15,0,20,0,0,6,60
2013,35,109,2013-08-26 through 2013-09-01,67,12,0,14,0,1,1,61
2013,36,109,2013-09-02 through 2013-09-08,73,16,0,23,0,0,2,62
2013,37,109,2013-09-09 through 2013-09-15,84,15,0,24,0,1,10,63
2013,38,109,2013-09-16 through 2013-09-22,108,14,0,16,0,1,7,64
2013,39,109,2013-09-23 through 2013-09-29,110,26,0,32,0,2,11,65
2013,40,109,2013-09-30 through 2013-10-06,90,15,1,16,1,1,5,66
2013,41,109,2013-10-07 through 2013-10-13,98,17,1,19,1,2,1,67
2013,42,109,2013-10-14 through 2013-10-20,76,13,0,17,0,1,4,68
2013,43,109,2013-10-21 through 2013-10-27,100,23,0,26,0,4,9,69
2013,44,109,2013-10-28 through 2013-11-03,90,14,0,17,0,1,5,70
2013,45,109,2013-11-04 through 2013-11-10,112,24,0,26,0,2,11,71
2013,46,109,2013-11-11 through 2013-11-17,99,15,1,15,1,0,9,72
2013,47,109,2013-11-18 through 2013-11-24,90,15,0,17,0,0,6,73
2013,48,109,2013-11-25 through 2013-12-01,113,18,0,20,0,0,11,74
2013,49,109,2013-12-02 through 2013-12-08,99,16,0,21,0,0,7,75
2013,50,109,2013-12-09 through 2013-12-15,89,14,0,18,0,1,7,76
2013,51,109,2013-12-16 through 2013-12-22,114,20,0,27,0,0,8,77
2013,52,109,2013-12-23 through 2013-12-29,79,13,0,17,0,0,8,78
2014,1,109,2013-12-30 through 2014-01-05,68,9,1,9,1,0,2,79
2014,2,109,2014-01-06 through 2014-01-12,107,23,0,28,0,1,15,80
2014,3,109,2014-01-13 through 2014-01-19,101,17,0,20,0,0,12,81
2014,4,109,2014-01-20 through 2014-01-26,93,13,0,15,0,0,7,82
2014,5,109,2014-01-27 through 2014-02-02,99,12,0,15,0,0,4,83
2014,6,109,2014-02-03 through 2014-02-09,119,6,0,6,0,0,1,84
2014,7,109,2014-02-10 through 2014-02-16,113,11,0,15,0,0,5,85
2014,8,109,2014-02-17 through 2014-02-23,90,6,0,6,0,0,4,86
2014,9,109,2014-02-24 through 2014-03-02,83,17,0,20,0,0,12,87
2014,10,109,2014-03-03 through 2014-03-09,86,17,0,22,0,0,5,88
2014,11,109,2014-03-10 through 2014-03-16,67,12,0,13,0,1,4,89
2014,12,109,2014-03-17 through 2014-03-23,88,18,0,28,0,0,6,90
2014,13,109,2014-03-24 through 2014-03-30,114,13,1,17,1,0,5,91
2014,14,109,2014-03-31 through 2014-04-06,87,16,0,22,0,1,3,92
2014,15,109,2014-04-07 through 2014-04-13,79,15,0,19,0,3,4,93
2014,16,109,2014-04-14 through 2014-04-20,88,15,0,18,0,0,6,94
2014,17,109,2014-04-21 through 2014-04-27,84,13,0,18,0,1,5,95
2014,18,109,2014-04-28 through 2014-05-04,100,20,0,38,0,2,5,96
2014,19,109,2014-05-05 through 2014-05-11,100,13,0,22,0,0,1,97
