year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,110,2012-06-25 through 2012-07-01,7,1,0,2,0,0,0,1
2012,27,110,2012-07-02 through 2012-07-08,52,13,0,15,0,1,2,2
2012,28,110,2012-07-09 through 2012-07-15,43,6,0,11,0,0,2,3
2012,29,110,2012-07-16 through 2012-07-22,60,16,0,18,0,0,3,4
2012,30,110,2012-07-23 through 2012-07-29,58,15,0,19,0,2,3,5
2012,31,110,2012-07-30 through 2012-08-05,55,10,0,11,0,2,4,6
2012,32,110,2012-08-06 through 2012-08-12,57,19,0,26,0,3,5,7
2012,33,110,2012-08-13 through 2012-08-19,52,10,0,14,0,0,5,8
2012,34,110,2012-08-20 through 2012-08-26,55,16,0,23,0,5,3,9
2012,35,110,2012-08-27 through 2012-09-02,53,19,0,21,0,4,2,10
2012,36,110,2012-09-03 through 2012-09-09,67,20,0,28,0,5,5,11
2012,37,110,2012-09-10 through 2012-09-16,40,10,0,11,0,3,1,12
2012,38,110,2012-09-17 through 2012-09-23,37,7,0,9,0,0,3,13
2012,39,110,2012-09-24 through 2012-09-30,54,17,0,25,0,1,8,14
2012,40,110,2012-10-01 through 2012-10-07,47,16,0,30,0,2,3,15
2012,41,110,2012-10-08 through 2012-10-14,61,14,0,18,0,1,4,16
2012,42,110,2012-10-15 through 2012-10-21,58,11,1,11,1,1,7,17
2012,43,110,2012-10-22 through 2012-10-28,44,6,0,7,0,0,3,18
2012,44,110,2012-10-29 through 2012-11-04,46,12,0,15,0,5,3,19
2012,45,110,2012-11-05 through 2012-11-11,59,16,0,21,0,2,3,20
2012,46,110,2012-11-12 through 2012-11-18,79,22,0,27,0,6,3,21
2012,47,110,2012-11-19 through 2012-11-25,74,11,0,14,0,2,3,22
2012,48,110,2012-11-26 through 2012-12-02,67,18,0,23,0,4,3,23
2012,49,110,2012-12-03 through 2012-12-09,70,11,0,16,0,0,3,24
2012,50,110,2012-12-10 through 2012-12-16,56,14,0,19,0,2,3,25
2012,51,110,2012-12-17 through 2012-12-23,66,19,0,28,0,4,5,26
2012,52,110,2012-12-24 through 2012-12-30,51,9,0,13,0,0,7,27
2013,1,110,2012-12-31 through 2013-01-06,52,10,0,12,0,0,5,28
2013,2,110,2013-01-07 through 2013-01-13,43,14,0,14,0,0,6,29
2013,3,110,2013-01-14 through 2013-01-20,49,14,0,15,0,1,4,30
2013,4,110,2013-01-21 through 2013-01-27,57,9,0,14,0,0,3,31
2013,5,110,2013-01-28 through 2013-02-03,56,15,0,19,0,1,4,32
2013,6,110,2013-02-04 through 2013-02-10,48,10,0,11,0,0,4,33
2013,7,110,2013-02-11 through 2013-02-17,40,12,0,17,0,0,5,34
2013,8,110,2013-02-18 through 2013-02-24,52,7,0,9,0,1,6,35
2013,9,110,2013-02-25 through 2013-03-03,55,11,0,17,0,0,7,36
2013,10,110,2013-03-04 through 2013-03-10,48,6,0,13,0,0,3,37
