year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,111,2012-06-25 through 2012-07-01,10,0,0,0,0,0,0,1
2012,27,111,2012-07-02 through 2012-07-08,56,11,0,15,0,1,1,2
2012,28,111,2012-07-09 through 2012-07-15,65,9,0,16,0,0,0,3
2012,29,111,2012-07-16 through 2012-07-22,71,9,0,16,0,1,1,4
2012,30,111,2012-07-23 through 2012-07-29,76,11,0,16,0,2,2,5
2012,31,111,2012-07-30 through 2012-08-05,52,7,0,10,0,0,0,6
2012,32,111,2012-08-06 through 2012-08-12,49,6,0,8,0,0,0,7
2012,33,111,2012-08-13 through 2012-08-19,51,7,0,7,0,0,1,8
2012,34,111,2012-08-20 through 2012-08-26,55,11,0,22,0,0,1,9
2012,35,111,2012-08-27 through 2012-09-02,50,7,0,9,0,2,1,10
2012,36,111,2012-09-03 through 2012-09-09,65,15,0,32,0,0,0,11
2012,37,111,2012-09-10 through 2012-09-16,85,15,1,20,1,0,1,12
2012,38,111,2012-09-17 through 2012-09-23,71,8,0,13,0,0,1,13
2012,39,111,2012-09-24 through 2012-09-30,65,6,0,6,0,1,1,14
2012,40,111,2012-10-01 through 2012-10-07,56,11,0,19,0,0,3,15
2012,41,111,2012-10-08 through 2012-10-14,67,14,0,14,0,1,5,16
2012,42,111,2012-10-15 through 2012-10-21,88,15,0,18,0,0,0,17
2012,43,111,2012-10-22 through 2012-10-28,51,18,0,21,0,1,5,18
2012,44,111,2012-10-29 through 2012-11-04,37,7,0,11,0,0,1,19
2012,45,111,2012-11-05 through 2012-11-11,43,11,0,15,0,1,3,20
2012,46,111,2012-11-12 through 2012-11-18,63,12,0,15,0,0,2,21
2012,47,111,2012-11-19 through 2012-11-25,65,8,0,12,0,0,2,22
2012,48,111,2012-11-26 through 2012-12-02,48,9,0,14,0,0,1,23
2012,49,111,2012-12-03 through 2012-12-09,56,18,0,26,0,0,10,24
2012,50,111,2012-12-10 through 2012-12-16,65,10,1,16,1,0,2,25
2012,51,111,2012-12-17 through 2012-12-23,67,6,0,6,0,0,1,26
2012,52,111,2012-12-24 through 2012-12-30,51,10,1,12,1,0,2,27
2013,1,111,2012-12-31 through 2013-01-06,38,7,0,9,0,0,2,28
2013,2,111,2013-01-07 through 2013-01-13,60,7,0,7,0,0,2,29
2013,3,111,2013-01-14 through 2013-01-20,70,15,0,20,0,0,2,30
2013,4,111,2013-01-21 through 2013-01-27,61,8,0,8,0,0,3,31
2013,5,111,2013-01-28 through 2013-02-03,53,7,0,9,0,1,3,32
2013,6,111,2013-02-04 through 2013-02-10,48,13,0,18,0,0,2,33
2013,7,111,2013-02-11 through 2013-02-17,43,1,0,1,0,0,0,34
2013,8,111,2013-02-18 through 2013-02-24,49,7,0,10,0,0,1,35
2013,9,111,2013-02-25 through 2013-03-03,49,6,0,8,0,0,1,36
2013,10,111,2013-03-04 through 2013-03-10,78,4,1,4,1,0,1,37
2013,11,111,2013-03-11 through 2013-03-17,54,7,0,8,0,0,2,38
2013,12,111,2013-03-18 through 2013-03-24,76,10,0,13,0,0,1,39
2013,13,111,2013-03-25 through 2013-03-31,44,9,0,9,0,1,2,40
2013,14,111,2013-04-01 through 2013-04-07,55,11,0,14,0,2,1,41
2013,15,111,2013-04-08 through 2013-04-14,66,15,0,18,0,0,4,42
2013,16,111,2013-04-15 through 2013-04-21,71,14,0,21,0,1,1,43
2013,17,111,2013-04-22 through 2013-04-28,64,14,0,23,0,0,2,44
2013,18,111,2013-04-29 through 2013-05-05,69,14,0,15,0,1,1,45
2013,19,111,2013-05-06 through 2013-05-12,69,9,0,13,0,0,2,46
2013,20,111,2013-05-13 through 2013-05-19,59,5,0,7,0,1,0,47
2013,21,111,2013-05-20 through 2013-05-26,74,11,0,13,0,0,2,48
2013,22,111,2013-05-27 through 2013-06-02,62,6,0,8,0,1,0,49
2013,23,111,2013-06-03 through 2013-06-09,63,15,0,21,0,0,3,50
2013,24,111,2013-06-10 through 2013-06-16,60,7,0,9,0,1,1,51
2013,25,111,2013-06-17 through 2013-06-23,83,13,0,28,0,0,2,52
2013,26,111,2013-06-24 through 2013-06-30,72,12,0,15,0,2,0,53
2013,27,111,2013-07-01 through 2013-07-07,52,12,1,15,1,0,1,54
2013,28,111,2013-07-08 through 2013-07-14,69,9,0,11,0,0,1,55
2013,29,111,2013-07-15 through 2013-07-21,75,11,1,11,1,1,2,56
2013,30,111,2013-07-22 through 2013-07-28,61,6,0,10,0,0,0,57
2013,31,111,2013-07-29 through 2013-08-04,55,8,1,10,1,0,0,58
2013,32,111,2013-08-05 through 2013-08-11,50,4,0,5,0,0,0,59
2013,33,111,2013-08-12 through 2013-08-18,74,11,0,19,0,0,1,60
2013,34,111,2013-08-19 through 2013-08-25,51,9,0,16,0,1,1,61
2013,35,111,2013-08-26 through 2013-09-01,43,11,0,12,0,1,3,62
2013,36,111,2013-09-02 through 2013-09-08,42,7,0,14,0,0,1,63
2013,37,111,2013-09-09 through 2013-09-15,72,14,0,20,0,0,1,64
2013,38,111,2013-09-16 through 2013-09-22,66,11,0,20,0,0,0,65
2013,39,111,2013-09-23 through 2013-09-29,59,12,0,16,0,0,3,66
2013,40,111,2013-09-30 through 2013-10-06,67,11,1,12,1,1,2,67
2013,41,111,2013-10-07 through 2013-10-13,58,8,0,10,0,1,0,68
2013,42,111,2013-10-14 through 2013-10-20,64,8,0,8,0,0,1,69
2013,43,111,2013-10-21 through 2013-10-27,76,10,0,12,0,0,1,70
2013,44,111,2013-10-28 through 2013-11-03,68,9,0,15,0,0,0,71
2013,45,111,2013-11-04 through 2013-11-10,58,7,0,10,0,0,1,72
2013,46,111,2013-11-11 through 2013-11-17,70,12,0,15,0,0,1,73
2013,47,111,2013-11-18 through 2013-11-24,62,9,0,12,0,0,0,74
2013,48,111,2013-11-25 through 2013-12-01,73,12,0,26,0,0,4,75
2013,49,111,2013-12-02 through 2013-12-08,61,12,0,13,0,1,3,76
2013,50,111,2013-12-09 through 2013-12-15,70,12,0,19,0,0,2,77
2013,51,111,2013-12-16 through 2013-12-22,65,8,0,12,0,0,1,78
2013,52,111,2013-12-23 through 2013-12-29,47,7,0,8,0,0,2,79
2014,1,111,2013-12-30 through 2014-01-05,38,10,1,13,1,0,2,80
2014,2,111,2014-01-06 through 2014-01-12,53,10,0,14,0,0,5,81
2014,3,111,2014-01-13 through 2014-01-19,54,4,0,7,0,0,1,82
2014,4,111,2014-01-20 through 2014-01-26,53,4,0,5,0,0,0,83
2014,5,111,2014-01-27 through 2014-02-02,51,5,0,8,0,0,1,84
2014,6,111,2014-02-03 through 2014-02-09,52,7,0,9,0,0,2,85
2014,7,111,2014-02-10 through 2014-02-16,70,4,0,5,0,0,0,86
2014,8,111,2014-02-17 through 2014-02-23,55,6,0,6,0,0,0,87
2014,9,111,2014-02-24 through 2014-03-02,53,6,0,6,0,0,0,88
2014,10,111,2014-03-03 through 2014-03-09,46,6,0,6,0,0,3,89
2014,11,111,2014-03-10 through 2014-03-16,53,4,0,4,0,0,0,90
2014,12,111,2014-03-17 through 2014-03-23,52,12,0,16,0,0,1,91
2014,13,111,2014-03-24 through 2014-03-30,51,10,0,16,0,0,2,92
2014,14,111,2014-03-31 through 2014-04-06,67,11,0,20,0,0,2,93
2014,15,111,2014-04-07 through 2014-04-13,67,10,0,13,0,0,2,94
2014,16,111,2014-04-14 through 2014-04-20,28,5,0,6,0,0,0,95
2014,17,111,2014-04-21 through 2014-04-27,50,7,0,13,0,0,0,96
2014,18,111,2014-04-28 through 2014-05-04,65,9,0,12,0,0,2,97
2014,19,111,2014-05-05 through 2014-05-11,77,9,0,12,0,0,2,98
2014,20,111,2014-05-12 through 2014-05-18,70,10,1,11,1,0,1,99
2014,21,111,2014-05-19 through 2014-05-25,56,8,1,11,1,0,2,100
2014,22,111,2014-05-26 through 2014-06-01,63,7,0,9,0,0,0,101
2014,23,111,2014-06-02 through 2014-06-08,83,15,0,20,0,0,1,102
2014,24,111,2014-06-09 through 2014-06-15,74,5,2,7,2,0,2,103
2014,25,111,2014-06-16 through 2014-06-22,67,7,0,11,0,0,0,104
2014,26,111,2014-06-23 through 2014-06-29,70,13,0,16,0,0,4,105
2014,27,111,2014-06-30 through 2014-07-06,80,12,0,17,0,0,0,106
2014,28,111,2014-07-07 through 2014-07-13,64,11,0,21,0,0,0,107
2014,29,111,2014-07-14 through 2014-07-20,47,10,0,15,0,0,0,108
2014,30,111,2014-07-21 through 2014-07-27,56,6,0,16,0,0,0,109
2014,31,111,2014-07-28 through 2014-08-03,61,7,0,10,0,1,1,110
2014,32,111,2014-08-04 through 2014-08-10,51,7,0,11,0,0,0,111
2014,33,111,2014-08-11 through 2014-08-17,50,5,0,5,0,0,0,112
2014,34,111,2014-08-18 through 2014-08-24,64,5,0,5,0,0,1,113
2014,35,111,2014-08-25 through 2014-08-31,68,8,0,10,0,0,2,114
2014,36,111,2014-09-01 through 2014-09-07,58,7,0,11,0,0,0,115
2014,37,111,2014-09-08 through 2014-09-14,70,12,0,19,0,3,1,116
2014,38,111,2014-09-15 through 2014-09-21,75,9,0,16,0,1,1,117
2014,39,111,2014-09-22 through 2014-09-28,62,6,0,10,0,0,1,118
2014,40,111,2014-09-29 through 2014-10-05,58,6,1,8,1,0,2,119
2014,41,111,2014-10-06 through 2014-10-12,78,8,0,11,0,1,1,120
2014,42,111,2014-10-13 through 2014-10-19,69,14,0,19,0,1,2,121
2014,43,111,2014-10-20 through 2014-10-26,71,11,0,13,0,0,4,122
2014,44,111,2014-10-27 through 2014-11-02,73,8,0,9,0,0,1,123
2014,45,111,2014-11-03 through 2014-11-09,68,9,0,10,0,0,3,124
2014,46,111,2014-11-10 through 2014-11-16,72,12,0,13,0,1,1,125
2014,47,111,2014-11-17 through 2014-11-23,82,12,0,15,0,0,5,126
2014,48,111,2014-11-24 through 2014-11-30,78,16,0,22,0,0,2,127
2014,49,111,2014-12-01 through 2014-12-07,64,9,0,12,0,0,4,128
2014,50,111,2014-12-08 through 2014-12-14,84,10,0,16,0,0,3,129
2014,51,111,2014-12-15 through 2014-12-21,72,10,0,13,0,1,3,130
2014,52,111,2014-12-22 through 2014-12-28,42,8,0,10,0,0,1,131
2015,1,111,2014-12-29 through 2015-01-04,42,6,0,8,0,0,3,132
2015,2,111,2015-01-05 through 2015-01-11,60,6,0,8,0,0,1,133
2015,3,111,2015-01-12 through 2015-01-18,67,9,0,11,0,0,4,134
2015,4,111,2015-01-19 through 2015-01-25,47,6,0,8,0,0,1,135
2015,5,111,2015-01-26 through 2015-02-01,49,8,0,8,0,0,2,136
2015,6,111,2015-02-02 through 2015-02-08,63,6,0,7,0,0,1,137
2015,7,111,2015-02-09 through 2015-02-15,45,5,0,6,0,0,1,138
2015,8,111,2015-02-16 through 2015-02-22,45,3,0,4,0,0,1,139
2015,9,111,2015-02-23 through 2015-03-01,28,4,0,4,0,0,2,140
2015,10,111,2015-03-02 through 2015-03-08,72,6,0,8,0,0,1,141
2015,11,111,2015-03-09 through 2015-03-15,54,12,0,16,0,0,3,142
2015,12,111,2015-03-16 through 2015-03-22,72,13,0,19,0,0,1,143
2015,13,111,2015-03-23 through 2015-03-29,55,7,0,8,0,0,3,144
2015,14,111,2015-03-30 through 2015-04-05,71,9,0,11,0,0,2,145
2015,15,111,2015-04-06 through 2015-04-12,47,12,1,26,1,0,1,146
2015,16,111,2015-04-13 through 2015-04-19,14,3,0,3,0,0,0,147
