year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,18,2012-06-25 through 2012-07-01,16,3,0,3,0,0,1,1
2012,27,18,2012-07-02 through 2012-07-08,65,11,0,13,0,2,5,2
2012,28,18,2012-07-09 through 2012-07-15,95,5,0,7,0,0,4,3
2012,29,18,2012-07-16 through 2012-07-22,97,13,0,16,0,4,4,4
2012,30,18,2012-07-23 through 2012-07-29,91,12,0,12,0,1,3,5
2012,31,18,2012-07-30 through 2012-08-05,82,8,0,8,0,4,0,6
2012,32,18,2012-08-06 through 2012-08-12,82,13,1,14,1,2,9,7
2012,33,18,2012-08-13 through 2012-08-19,84,13,0,13,0,4,4,8
2012,34,18,2012-08-20 through 2012-08-26,79,10,0,14,0,3,7,9
2012,35,18,2012-08-27 through 2012-09-02,67,7,0,7,0,4,1,10
2012,36,18,2012-09-03 through 2012-09-09,76,5,0,7,0,1,2,11
2012,37,18,2012-09-10 through 2012-09-16,95,6,0,10,0,2,3,12
2012,38,18,2012-09-17 through 2012-09-23,89,9,2,13,2,0,6,13
2012,39,18,2012-09-24 through 2012-09-30,101,10,1,12,1,2,6,14
2012,40,18,2012-10-01 through 2012-10-07,106,10,0,10,0,2,3,15
2012,41,18,2012-10-08 through 2012-10-14,76,5,0,7,0,3,3,16
2012,42,18,2012-10-15 through 2012-10-21,117,13,0,15,0,0,9,17
2012,43,18,2012-10-22 through 2012-10-28,94,12,0,13,0,3,1,18
2012,44,18,2012-10-29 through 2012-11-04,38,4,0,4,0,1,3,19
2012,45,18,2012-11-05 through 2012-11-11,80,10,0,10,0,2,6,20
2012,46,18,2012-11-12 through 2012-11-18,95,9,0,10,0,3,6,21
2012,47,18,2012-11-19 through 2012-11-25,55,3,0,4,0,0,1,22
2012,48,18,2012-11-26 through 2012-12-02,104,9,0,11,0,2,4,23
2012,49,18,2012-12-03 through 2012-12-09,120,16,0,17,0,4,5,24
2012,50,18,2012-12-10 through 2012-12-16,106,13,0,14,0,4,6,25
2012,51,18,2012-12-17 through 2012-12-23,112,11,0,13,0,3,4,26
2012,52,18,2012-12-24 through 2012-12-30,67,6,1,6,1,0,4,27
2013,1,18,2012-12-31 through 2013-01-06,41,0,0,0,0,0,0,28
2013,2,18,2013-01-07 through 2013-01-13,74,8,0,9,0,2,2,29
2013,3,18,2013-01-14 through 2013-01-20,78,8,0,8,0,2,4,30
2013,4,18,2013-01-21 through 2013-01-27,75,7,0,7,0,0,4,31
