year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,115,2012-06-25 through 2012-07-01,12,3,0,4,0,0,0,1
2012,27,115,2012-07-02 through 2012-07-08,66,18,1,23,1,4,6,2
2012,28,115,2012-07-09 through 2012-07-15,57,13,0,20,0,3,1,3
2012,29,115,2012-07-16 through 2012-07-22,56,16,0,29,0,2,3,4
2012,30,115,2012-07-23 through 2012-07-29,59,7,0,8,0,0,3,5
2012,31,115,2012-07-30 through 2012-08-05,37,9,0,12,0,1,2,6
2012,32,115,2012-08-06 through 2012-08-12,52,11,0,15,0,2,3,7
2012,33,115,2012-08-13 through 2012-08-19,63,21,0,27,0,6,4,8
2012,34,115,2012-08-20 through 2012-08-26,43,16,0,27,0,1,2,9
2012,35,115,2012-08-27 through 2012-09-02,58,12,0,24,0,1,3,10
2012,36,115,2012-09-03 through 2012-09-09,54,17,0,21,0,4,2,11
2012,37,115,2012-09-10 through 2012-09-16,63,14,0,18,0,3,4,12
2012,38,115,2012-09-17 through 2012-09-23,72,13,1,16,1,1,6,13
2012,39,115,2012-09-24 through 2012-09-30,51,15,0,18,0,6,0,14
2012,40,115,2012-10-01 through 2012-10-07,57,18,0,24,0,2,7,15
2012,41,115,2012-10-08 through 2012-10-14,57,16,0,17,0,4,6,16
2012,42,115,2012-10-15 through 2012-10-21,54,15,0,18,0,4,3,17
2012,43,115,2012-10-22 through 2012-10-28,40,9,0,12,0,1,0,18
2012,44,115,2012-10-29 through 2012-11-04,45,13,0,14,0,3,3,19
2012,45,115,2012-11-05 through 2012-11-11,60,20,0,26,0,2,9,20
2012,46,115,2012-11-12 through 2012-11-18,46,13,0,14,0,1,6,21
2012,47,115,2012-11-19 through 2012-11-25,43,13,0,15,0,5,3,22
2012,48,115,2012-11-26 through 2012-12-02,58,10,0,10,0,2,1,23
2012,49,115,2012-12-03 through 2012-12-09,45,10,0,12,0,1,6,24
2012,50,115,2012-12-10 through 2012-12-16,58,13,0,18,0,2,4,25
2012,51,115,2012-12-17 through 2012-12-23,49,8,0,10,0,1,1,26
2012,52,115,2012-12-24 through 2012-12-30,55,16,1,28,1,2,6,27
2013,1,115,2012-12-31 through 2013-01-06,39,13,0,21,0,1,9,28
2013,2,115,2013-01-07 through 2013-01-13,51,10,0,15,0,2,2,29
2013,3,115,2013-01-14 through 2013-01-20,51,8,0,10,0,1,4,30
2013,4,115,2013-01-21 through 2013-01-27,48,9,0,16,0,1,2,31
2013,5,115,2013-01-28 through 2013-02-03,53,7,0,8,0,0,3,32
2013,6,115,2013-02-04 through 2013-02-10,69,13,0,15,0,1,4,33
2013,7,115,2013-02-11 through 2013-02-17,57,9,0,9,0,1,3,34
2013,8,115,2013-02-18 through 2013-02-24,47,10,0,14,0,0,3,35
2013,9,115,2013-02-25 through 2013-03-03,52,13,0,25,0,1,4,36
2013,10,115,2013-03-04 through 2013-03-10,50,8,0,11,0,0,1,37
2013,11,115,2013-03-11 through 2013-03-17,54,13,0,16,0,2,4,38
2013,12,115,2013-03-18 through 2013-03-24,61,12,0,17,0,4,2,39
2013,13,115,2013-03-25 through 2013-03-31,58,13,0,14,0,0,5,40
2013,14,115,2013-04-01 through 2013-04-07,50,7,0,11,0,0,0,41
2013,15,115,2013-04-08 through 2013-04-14,64,18,0,23,0,2,4,42
2013,16,115,2013-04-15 through 2013-04-21,59,12,0,17,0,0,4,43
2013,17,115,2013-04-22 through 2013-04-28,42,15,0,17,0,6,3,44
2013,18,115,2013-04-29 through 2013-05-05,65,14,0,15,0,7,2,45
2013,19,115,2013-05-06 through 2013-05-12,52,14,1,16,1,3,5,46
2013,20,115,2013-05-13 through 2013-05-19,60,12,0,18,0,1,2,47
2013,21,115,2013-05-20 through 2013-05-26,74,17,0,21,0,1,2,48
2013,22,115,2013-05-27 through 2013-06-02,54,19,0,31,0,3,6,49
2013,23,115,2013-06-03 through 2013-06-09,68,16,0,21,0,7,2,50
2013,24,115,2013-06-10 through 2013-06-16,60,17,0,20,0,5,5,51
2013,25,115,2013-06-17 through 2013-06-23,66,19,0,33,0,4,2,52
2013,26,115,2013-06-24 through 2013-06-30,67,21,0,34,0,3,5,53
2013,27,115,2013-07-01 through 2013-07-07,60,19,0,32,0,3,6,54
2013,28,115,2013-07-08 through 2013-07-14,54,16,0,17,0,4,7,55
2013,29,115,2013-07-15 through 2013-07-21,58,13,0,13,0,2,5,56
2013,30,115,2013-07-22 through 2013-07-28,59,19,0,24,0,3,5,57
2013,31,115,2013-07-29 through 2013-08-04,58,14,0,18,0,2,3,58
